City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
EL NIDO (BACUIT),  9.490 ,  4.353 ,  1.710 ,  -   ,  -   ,  3.232 ,  107 ,  88 ,  -   ,  -   
LINAPACAN,  3.370 ,  864 ,  858 ,  -   ,  -   ,  1.333 ,  257 ,  58 ,  -   ,  -   
MAGSAYSAY,  2.733 ,  1.953 ,  397 ,  -   ,  -   ,  297 ,  82 ,  4 ,  -   ,  -   
NARRA,  16.922 ,  14.027 ,  2.110 ,  -   ,  -   ,  363 ,  319 ,  103 ,  -   ,  -   
QUEZON,  13.941 ,  5.708 ,  4.380 ,  13 ,  12 ,  2.757 ,  613 ,  448 ,  10 ,  -   
ROXAS,  15.377 ,  8.396 ,  4.128 ,  -   ,  -   ,  1.076 ,  697 ,  1.080 ,  -   ,  -   
SAN VICENTE,  6.711 ,  3.798 ,  1.412 ,  -   ,  -   ,  1.030 ,  328 ,  143 ,  -   ,  -   
TAYTAY,  16.137 ,  5.803 ,  4.264 ,  42 ,  37 ,  4.367 ,  1.042 ,  577 ,  5 ,  -   
KALAYAAN,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CULION,  4.652 ,  2.346 ,  1.212 ,  -   ,  -   ,  788 ,  256 ,  50 ,  -   ,  -   
RIZAL (MARCOS),  12.826 ,  3.200 ,  5.889 ,  -   ,  5 ,  2.041 ,  1.244 ,  447 ,  -   ,  -   
SOFRONIO ESPAÑOLA,  7.687 ,  3.594 ,  2.662 ,  3 ,  76 ,  759 ,  514 ,  74 ,  5 ,  -   
PUERTO PRINCESA CITY (Capital),  62.247 ,  55.475 ,  4.060 ,  -   ,  15 ,  1.429 ,  1.067 ,  170 ,  31 ,  -   
ROMBLON,  68.362 ,  58.719 ,  8.902 ,  151 ,  10 ,  194 ,  212 ,  151 ,  23 ,  -   
ALCANTARA,  3.673 ,  3.070 ,  519 ,  66 ,  4 ,  3 ,  5 ,  4 ,  2 ,  -   
BANTON,  1.420 ,  1.269 ,  124 ,  -   ,  -   ,  19 ,  8 ,  -   ,  -   ,  -   
CAJIDIOCAN,  4.983 ,  4.211 ,  734 ,  -   ,  1 ,  2 ,  21 ,  12 ,  2 ,  -   
CALATRAVA,  2.334 ,  1.935 ,  345 ,  3 ,  -   ,  38 ,  7 ,  6 ,  -   ,  -   
CONCEPCION,  1.048 ,  1.030 ,  10 ,  4 ,  -   ,  1 ,  2 ,  -   ,  1 ,  -   
CORCUERA,  2.471 ,  2.176 ,  288 ,  -   ,  1 ,  -   ,  2 ,  2 ,  2 ,  -   
LOOC,  5.380 ,  4.471 ,  889 ,  -   ,  -   ,  3 ,  8 ,  8 ,  1 ,  -   
MAGDIWANG,  3.079 ,  2.715 ,  302 ,  -   ,  -   ,  1 ,  39 ,  22 ,  -   ,  -   
ODIONGAN,  11.460 ,  10.161 ,  1.250 ,  3 ,  -   ,  13 ,  19 ,  11 ,  3 ,  -   
ROMBLON (CAPITAL),  8.997 ,  8.256 ,  604 ,  17 ,  1 ,  29 ,  39 ,  49 ,  2 ,  -   
SAN AGUSTIN,  5.273 ,  4.104 ,  1.112 ,  18 ,  -   ,  8 ,  25 ,  5 ,  1 ,  -   
SAN ANDRES,  3.550 ,  2.983 ,  539 ,  12 ,  -   ,  2 ,  7 ,  7 ,  -   ,  -   
SAN FERNANDO,  5.055 ,  4.302 ,  622 ,  26 ,  -   ,  71 ,  14 ,  13 ,  7 ,  -   
SAN JOSE,  2.392 ,  2.050 ,  330 ,  -   ,  1 ,  1 ,  6 ,  3 ,  1 ,  -   
SANTA FE,  3.711 ,  3.123 ,  570 ,  2 ,  1 ,  2 ,  7 ,  6 ,  -   ,  -   
FERROL,  1.656 ,  1.357 ,  291 ,  -   ,  1 ,  1 ,  3 ,  3 ,  -   ,  -   
SANTA MARIA (IMELDA),  1.880 ,  1.506 ,  373 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
,,,,,,,,,,
REGION V - BICOL,  1.216.369 ,  1.009.648 ,  173.317 ,  1.733 ,  153 ,  13.996 ,  10.466 ,  5.975 ,  1.081 ,  -   
ALBAY,  277.091 ,  246.196 ,  28.021 ,  251 ,  29 ,  627 ,  1.231 ,  542 ,  194 ,  -   
BACACAY,  14.365 ,  12.727 ,  1.503 ,  6 ,  -   ,  40 ,  73 ,  16 ,  -   ,  -   
CAMALIG,  14.787 ,  13.432 ,  1.265 ,  3 ,  2 ,  20 ,  34 ,  25 ,  6 ,  -   
DARAGA (LOCSIN),  27.648 ,  25.750 ,  1.708 ,  31 ,  3 ,  32 ,  86 ,  31 ,  7 ,  -   
GUINOBATAN,  18.239 ,  15.844 ,  2.224 ,  33 ,  -   ,  27 ,  68 ,  38 ,  5 ,  -   
JOVELLAR,  3.812 ,  2.676 ,  1.109 ,  -   ,  -   ,  9 ,  13 ,  1 ,  4 ,  -   
LEGAZPI CITY (Capital),  41.742 ,  38.635 ,  2.782 ,  54 ,  4 ,  68 ,  114 ,  64 ,  21 ,  -   
LIBON,  15.528 ,  12.849 ,  2.543 ,  5 ,  2 ,  50 ,  56 ,  13 ,  10 ,  -   
CITY OF LIGAO,  22.552 ,  20.006 ,  2.413 ,  19 ,  1 ,  40 ,  46 ,  19 ,  8 ,  -   
MALILIPOT,  8.104 ,  7.537 ,  474 ,  1 ,  2 ,  9 ,  59 ,  15 ,  7 ,  -   
MALINAO,  9.765 ,  8.828 ,  860 ,  5 ,  -   ,  16 ,  39 ,  13 ,  4 ,  -   
MANITO,  5.066 ,  4.729 ,  322 ,  -   ,  1 ,  8 ,  6 ,  -   ,  -   ,  -   
OAS,  14.068 ,  11.742 ,  2.232 ,  5 ,  4 ,  18 ,  51 ,  11 ,  5 ,  -   
PIO DURAN,  9.467 ,  7.908 ,  1.511 ,  6 ,  -   ,  13 ,  20 ,  8 ,  1 ,  -   
POLANGUI,  18.313 ,  16.552 ,  1.645 ,  14 ,  2 ,  38 ,  27 ,  16 ,  19 ,  -   
RAPU-RAPU,  7.401 ,  4.964 ,  1.855 ,  6 ,  2 ,  153 ,  183 ,  169 ,  69 ,  -   
SANTO DOMINGO (LIBOG),  7.516 ,  7.056 ,  367 ,  2 ,  -   ,  14 ,  54 ,  13 ,  10 ,  -   
CITY OF TABACO,  27.702 ,  24.624 ,  2.566 ,  60 ,  5 ,  65 ,  284 ,  87 ,  11 ,  -   
TIWI,  11.016 ,  10.337 ,  642 ,  1 ,  1 ,  7 ,  18 ,  3 ,  7 ,  -   
CAMARINES NORTE,  129.994 ,  116.113 ,  11.619 ,  255 ,  7 ,  883 ,  401 ,  618 ,  98 ,  -   
BASUD,  9.123 ,  8.249 ,  834 ,  1 ,  -   ,  5 ,  13 ,  16 ,  5 ,  -   
CAPALONGA,  7.169 ,  6.140 ,  948 ,  2 ,  1 ,  8 ,  57 ,  13 ,  -   ,  -   
DAET (Capital),  23.270 ,  22.213 ,  876 ,  41 ,  3 ,  19 ,  24 ,  56 ,  38 ,  -   
SAN LORENZO RUIZ (IMELDA),  3.184 ,  2.740 ,  423 ,  1 ,  -   ,  10 ,  4 ,  4 ,  2 ,  -   
JOSE PANGANIBAN,  13.855 ,  12.519 ,  1.225 ,  7 ,  -   ,  6 ,  34 ,  54 ,  10 ,  -   
LABO,  22.256 ,  19.525 ,  2.532 ,  36 ,  -   ,  31 ,  65 ,  53 ,  14 ,  -   
MERCEDES,  10.899 ,  9.549 ,  1.083 ,  7 ,  -   ,  74 ,  11 ,  166 ,  9 ,  -   
PARACALE,  13.171 ,  11.968 ,  874 ,  82 ,  3 ,  65 ,  52 ,  122 ,  5 ,  -   
SAN VICENTE,  2.400 ,  2.061 ,  323 ,  -   ,  -   ,  2 ,  6 ,  6 ,  2 ,  -   
SANTA ELENA,  9.214 ,  8.289 ,  862 ,  1 ,  -   ,  6 ,  46 ,  8 ,  2 ,  -   
TALISAY,  5.803 ,  5.340 ,  435 ,  4 ,  -   ,  7 ,  7 ,  8 ,  2 ,  -   
VINZONS,  9.650 ,  7.520 ,  1.204 ,  73 ,  -   ,  650 ,  82 ,  112 ,  9 ,  -   
CAMARINES SUR,  400.615 ,  343.171 ,  52.958 ,  302 ,  44 ,  754 ,  1.059 ,  1.851 ,  476 ,  -   
BAAO,  11.443 ,  10.117 ,  1.210 ,  2 ,  2 ,  23 ,  32 ,  52 ,  5 ,  -   
BALATAN,  5.881 ,  5.107 ,  738 ,  1 ,  -   ,  18 ,  5 ,  2 ,  10 ,  -   
BATO,  9.869 ,  8.820 ,  973 ,  15 ,  -   ,  12 ,  18 ,  15 ,  16 ,  -   
BOMBON,  3.461 ,  3.155 ,  268 ,  -   ,  -   ,  4 ,  12 ,  20 ,  2 ,  -   
BUHI,  16.541 ,  14.241 ,  2.170 ,  21 ,  -   ,  15 ,  22 ,  12 ,  60 ,  -   
BULA,  13.589 ,  12.027 ,  1.486 ,  8 ,  1 ,  20 ,  31 ,  15 ,  1 ,  -   
CABUSAO,  3.902 ,  3.471 ,  421 ,  1 ,  -   ,  2 ,  2 ,  4 ,  1 ,  -   
CALABANGA,  17.211 ,  14.839 ,  2.273 ,  3 ,  -   ,  12 ,  26 ,  51 ,  7 ,  -   
CAMALIGAN,  4.848 ,  4.613 ,  202 ,  3 ,  1 ,  3 ,  7 ,  18 ,  1 ,  -   
CANAMAN,  7.103 ,  6.534 ,  490 ,  3 ,  2 ,  5 ,  32 ,  32 ,  5 ,  -   
CARAMOAN,  9.946 ,  6.843 ,  2.581 ,  7 ,  3 ,  59 ,  34 ,  413 ,  6 ,  -   
DEL GALLEGO,  5.249 ,  4.501 ,  702 ,  -   ,  -   ,  6 ,  27 ,  8 ,  5 ,  -   
GAINZA,  2.251 ,  2.118 ,  106 ,  -   ,  1 ,  -   ,  8 ,  17 ,  1 ,  -   
GARCHITORENA,  5.216 ,  3.096 ,  1.733 ,  11 ,  1 ,  68 ,  53 ,  252 ,  2 ,  -   
GOA,  12.842 ,  9.944 ,  2.819 ,  12 ,  2 ,  25 ,  23 ,  17 ,  -   ,  -   
IRIGA CITY,  21.840 ,  19.584 ,  2.114 ,  39 ,  2 ,  29 ,  47 ,  22 ,  3 ,  -   
LAGONOY,  11.312 ,  9.463 ,  1.747 ,  2 ,  2 ,  23 ,  27 ,  23 ,  25 ,  -   
LIBMANAN,  23.629 ,  19.729 ,  3.714 ,  50 ,  1 ,  36 ,  62 ,  29 ,  8 ,  -   
LUPI,  7.013 ,  5.714 ,  1.255 ,  5 ,  -   ,  3 ,  16 ,  13 ,  7 ,  -   
MAGARAO,  5.333 ,  4.783 ,  480 ,  2 ,  1 ,  9 ,  16 ,  41 ,  1 ,  -   
MILAOR,  6.324 ,  5.670 ,  577 ,  5 ,  1 ,  5 ,  20 ,  37 ,  9 ,  -   
MINALABAC,  10.313 ,  8.986 ,  1.236 ,  7 ,  1 ,  16 ,  20 ,  35 ,  12 ,  -   
NABUA,  16.625 ,  15.531 ,  1.028 ,  3 ,  -   ,  11 ,  30 ,  19 ,  3 ,  -   
NAGA CITY,  42.152 ,  39.308 ,  2.060 ,  50 ,  8 ,  93 ,  143 ,  313 ,  177 ,  -   
OCAMPO,  9.322 ,  7.492 ,  1.759 ,  1 ,  2 ,  6 ,  29 ,  31 ,  2 ,  -   
PAMPLONA,  7.583 ,  6.728 ,  799 ,  1 ,  1 ,  14 ,  17 ,  21 ,  2 ,  -   
PASACAO,  9.948 ,  8.515 ,  1.344 ,  5 ,  -   ,  26 ,  27 ,  26 ,  5 ,  -   
PILI (Capital),  18.178 ,  16.222 ,  1.808 ,  2 ,  1 ,  31 ,  47 ,  55 ,  12 ,  -   
PRESENTACION (PARUBCAN),  4.048 ,  3.077 ,  953 ,  -   ,  1 ,  5 ,  6 ,  4 ,  2 ,  -   
RAGAY,  12.496 ,  9.846 ,  2.554 ,  3 ,  -   ,  19 ,  53 ,  13 ,  8 ,  -   
SAGÑAY,  6.981 ,  5.202 ,  1.733 ,  -   ,  2 ,  9 ,  19 ,  14 ,  2 ,  -   
SAN FERNANDO,  7.246 ,  6.387 ,  755 ,  -   ,  -   ,  6 ,  34 ,  12 ,  52 ,  -   
SAN JOSE,  8.684 ,  7.746 ,  912 ,  -   ,  -   ,  3 ,  15 ,  5 ,  3 ,  -   
SIPOCOT,  13.531 ,  11.519 ,  1.963 ,  3 ,  1 ,  11 ,  27 ,  3 ,  4 ,  -   
SIRUMA,  3.780 ,  2.651 ,  889 ,  5 ,  -   ,  103 ,  23 ,  107 ,  2 ,  -   
TIGAON,  11.600 ,  9.516 ,  1.929 ,  31 ,  2 ,  8 ,  39 ,  67 ,  8 ,  -   
TINAMBAC,  13.325 ,  10.076 ,  3.177 ,  1 ,  5 ,  16 ,  10 ,  33 ,  7 ,  -   
CATANDUANES,  53.814 ,  47.981 ,  5.398 ,  15 ,  -   ,  21 ,  81 ,  303 ,  15 ,  -   
BAGAMANOC,  2.410 ,  2.039 ,  342 ,  -   ,  -   ,  5 ,  9 ,  14 ,  1 ,  -   
BARAS,  2.818 ,  2.536 ,  271 ,  -   ,  -   ,  2 ,  4 ,  4 ,  1 ,  -   
BATO,  4.563 ,  4.163 ,  365 ,  -   ,  -   ,  1 ,  -   ,  33 ,  1 ,  -   
CARAMORAN,  5.893 ,  5.074 ,  741 ,  -   ,  -   ,  -   ,  4 ,  74 ,  -   ,  -   
GIGMOTO,  1.749 ,  1.614 ,  121 ,  -   ,  -   ,  -   ,  4 ,  7 ,  3 ,  -   
PANDAN,  4.208 ,  3.481 ,  684 ,  -   ,  -   ,  -   ,  17 ,  25 ,  1 ,  -   
PANGANIBAN (PAYO),  2.011 ,  1.805 ,  200 ,  -   ,  -   ,  -   ,  -   ,  2 ,  4 ,  -   
SAN ANDRES (CALOLBON),  7.710 ,  6.772 ,  871 ,  1 ,  -   ,  3 ,  9 ,  53 ,  1 ,  -   
SAN MIGUEL,  3.052 ,  2.710 ,  317 ,  -   ,  -   ,  1 ,  2 ,  22 ,  -   ,  -   
VIGA,  4.332 ,  3.727 ,  589 ,  -   ,  -   ,  -   ,  4 ,  9 ,  3 ,  -   
VIRAC (Capital),  15.068 ,  14.060 ,  897 ,  14 ,  -   ,  9 ,  28 ,  60 ,  -   ,  -   
MASBATE,  188.013 ,  103.742 ,  61.739 ,  856 ,  53 ,  11.603 ,  7.403 ,  2.485 ,  132 ,  -   
AROROY,  17.087 ,  10.196 ,  5.307 ,  38 ,  2 ,  268 ,  437 ,  827 ,  12 ,  -   
BALENO,  5.369 ,  3.325 ,  1.918 ,  1 ,  1 ,  55 ,  41 ,  24 ,  4 ,  -   
BALUD,  7.867 ,  5.391 ,  2.134 ,  11 ,  -   ,  99 ,  184 ,  45 ,  3 ,  -   
BATUAN,  3.625 ,  2.235 ,  1.279 ,  6 ,  2 ,  30 ,  61 ,  11 ,  1 ,  -   
CATAINGAN,  10.833 ,  5.659 ,  3.680 ,  146 ,  2 ,  601 ,  488 ,  246 ,  11 ,  -   
CAWAYAN,  15.063 ,  6.485 ,  4.632 ,  125 ,  6 ,  2.612 ,  985 ,  211 ,  7 ,  -   
CLAVERIA,  9.173 ,  2.411 ,  4.491 ,  7 ,  3 ,  1.405 ,  704 ,  141 ,  11 ,  -   
DIMASALANG,  5.430 ,  3.155 ,  1.705 ,  3 ,  1 ,  293 ,  255 ,  15 ,  3 ,  -   
ESPERANZA,  4.097 ,  1.961 ,  1.542 ,  -   ,  -   ,  320 ,  267 ,  6 ,  1 ,  -   
MANDAON,  8.741 ,  5.118 ,  2.884 ,  101 ,  1 ,  282 ,  338 ,  13 ,  4 ,  -   
CITY OF MASBATE (Capital),  19.237 ,  14.758 ,  3.981 ,  11 ,  23 ,  97 ,  202 ,  147 ,  18 ,  -   
MILAGROS,  11.494 ,  6.597 ,  3.866 ,  7 ,  1 ,  439 ,  520 ,  64 ,  -   ,  -   
MOBO,  7.752 ,  5.255 ,  2.008 ,  117 ,  1 ,  175 ,  170 ,  24 ,  2 ,  -   
MONREAL,  5.270 ,  2.918 ,  2.088 ,  30 ,  -   ,  95 ,  74 ,  63 ,  2 ,  -   
PALANAS,  5.856 ,  2.513 ,  2.012 ,  102 ,  -   ,  811 ,  382 ,  31 ,  5 ,  -   
PIO V. CORPUZ (LIMBUHAN),  5.285 ,  3.531 ,  1.550 ,  12 ,  1 ,  30 ,  64 ,  92 ,  5 ,  -   
PLACER,  11.958 ,  5.600 ,  4.131 ,  81 ,  2 ,  1.266 ,  826 ,  39 ,  13 ,  -   
SAN FERNANDO,  5.402 ,  3.508 ,  1.816 ,  6 ,  -   ,  22 ,  15 ,  33 ,  2 ,  -   
SAN JACINTO,  7.065 ,  4.034 ,  2.684 ,  5 ,  2 ,  138 ,  176 ,  26 ,  -   ,  -   
SAN PASCUAL,  9.836 ,  2.552 ,  3.911 ,  31 ,  4 ,  2.308 ,  932 ,  92 ,  6 ,  -   
USON,  11.573 ,  6.540 ,  4.120 ,  16 ,  1 ,  257 ,  282 ,  335 ,  22 ,  -   
SORSOGON,  166.842 ,  152.445 ,  13.582 ,  54 ,  20 ,  108 ,  291 ,  176 ,  166 ,  -   
BARCELONA,  4.794 ,  4.383 ,  382 ,  -   ,  -   ,  4 ,  12 ,  10 ,  3 ,  -   
BULAN,  20.787 ,  19.487 ,  1.249 ,  1 ,  3 ,  11 ,  19 ,  8 ,  9 ,  -   
BULUSAN,  5.307 ,  5.032 ,  253 ,  -   ,  -   ,  1 ,  5 ,  7 ,  9 ,  -   
CASIGURAN,  7.107 ,  6.338 ,  721 ,  2 ,  1 ,  7 ,  13 ,  23 ,  2 ,  -   
CASTILLA,  12.298 ,  10.523 ,  1.697 ,  1 ,  -   ,  11 ,  32 ,  19 ,  15 ,  -   
DONSOL,  10.322 ,  9.309 ,  992 ,  4 ,  1 ,  1 ,  4 ,  1 ,  10 ,  -   
GUBAT,  13.471 ,  12.188 ,  1.175 ,  23 ,  3 ,  13 ,  44 ,  15 ,  10 ,  -   
IROSIN,  11.418 ,  10.914 ,  473 ,  3 ,  1 ,  3 ,  8 ,  7 ,  9 ,  -   
JUBAN,  6.650 ,  6.164 ,  466 ,  -   ,  1 ,  -   ,  11 ,  -   ,  8 ,  -   
MAGALLANES,  7.497 ,  6.392 ,  1.062 ,  -   ,  -   ,  3 ,  16 ,  9 ,  15 ,  -   
MATNOG,  8.395 ,  7.562 ,  798 ,  3 ,  2 ,  4 ,  4 ,  6 ,  16 ,  -   
PILAR,  15.032 ,  12.617 ,  2.286 ,  10 ,  2 ,  22 ,  71 ,  14 ,  10 ,  -   
PRIETO DIAZ,  4.781 ,  4.350 ,  387 ,  -   ,  -   ,  3 ,  6 ,  10 ,  25 ,  -   
SANTA MAGDALENA,  3.589 ,  3.372 ,  206 ,  1 ,  -   ,  3 ,  -   ,  7 ,  -   ,  -   
CITY OF SORSOGON (Capital),  35.394 ,  33.814 ,  1.435 ,  6 ,  6 ,  22 ,  46 ,  40 ,  25 ,  -   
,,,,,,,,,,
REGION VI - WESTERN VISAYAS,  1.716.307 ,  1.504.278 ,  173.893 ,  1.452 ,  244 ,  11.750 ,  17.208 ,  6.378 ,  1.100 ,  4 
AKLAN,  133.679 ,  125.466 ,  6.961 ,  -   ,  -   ,  381 ,  842 ,  29 ,  -   ,  -   
ALTAVAS,  5.991 ,  5.688 ,  288 ,  -   ,  -   ,  2 ,  13 ,  -   ,  -   ,  -   
BALETE,  6.999 ,  6.097 ,  602 ,  -   ,  -   ,  27 ,  273 ,  -   ,  -   ,  -   
BANGA,  9.250 ,  8.700 ,  537 ,  -   ,  -   ,  6 ,  7 ,  -   ,  -   ,  -   
BATAN,  7.967 ,  7.517 ,  257 ,  -   ,  -   ,  17 ,  171 ,  5 ,  -   ,  -   
BURUANGA,  4.239 ,  4.112 ,  122 ,  -   ,  -   ,  -   ,  5 ,  -   ,  -   ,  -   
IBAJAY,  11.019 ,  10.605 ,  403 ,  -   ,  -   ,  -   ,  11 ,  -   ,  -   ,  -   
KALIBO (Capital),  17.930 ,  17.681 ,  226 ,  -   ,  -   ,  1 ,  8 ,  14 ,  -   ,  -   
LEZO,  3.590 ,  3.456 ,  134 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
LIBACAO,  6.575 ,  4.533 ,  1.530 ,  -   ,  -   ,  264 ,  248 ,  -   ,  -   ,  -   
MADALAG,  4.260 ,  3.150 ,  1.011 ,  -   ,  -   ,  25 ,  74 ,  -   ,  -   ,  -   
MAKATO,  6.581 ,  6.179 ,  373 ,  -   ,  -   ,  25 ,  4 ,  -   ,  -   ,  -   
MALAY,  12.664 ,  12.431 ,  200 ,  -   ,  -   ,  4 ,  19 ,  10 ,  -   ,  -   
MALINAO,  5.419 ,  5.116 ,  303 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
NABAS,  7.918 ,  7.648 ,  270 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
NEW WASHINGTON,  10.853 ,  10.527 ,  318 ,  -   ,  -   ,  5 ,  3 ,  -   ,  -   ,  -   
NUMANCIA,  7.433 ,  7.296 ,  130 ,  -   ,  -   ,  3 ,  4 ,  -   ,  -   ,  -   
TANGALAN,  4.991 ,  4.730 ,  257 ,  -   ,  -   ,  2 ,  2 ,  -   ,  -   ,  -   
ANTIQUE,  129.771 ,  120.438 ,  8.418 ,  52 ,  16 ,  268 ,  301 ,  220 ,  57 ,  1 
ANINI-Y,  4.641 ,  4.478 ,  152 ,  6 ,  1 ,  1 ,  -   ,  1 ,  2 ,  -   
BARBAZA,  5.504 ,  4.914 ,  527 ,  1 ,  -   ,  52 ,  8 ,  -   ,  2 ,  -   
BELISON,  3.083 ,  2.887 ,  192 ,  1 ,  -   ,  1 ,  -   ,  -   ,  2 ,  -   
BUGASONG,  7.386 ,  6.888 ,  475 ,  2 ,  -   ,  8 ,  9 ,  3 ,  1 ,  -   
CALUYA,  7.993 ,  7.675 ,  271 ,  2 ,  -   ,  15 ,  26 ,  2 ,  2 ,  -   
CULASI,  9.689 ,  9.190 ,  344 ,  2 ,  -   ,  35 ,  89 ,  27 ,  2 ,  -   
TOBIAS FORNIER (DAO),  6.868 ,  6.341 ,  508 ,  1 ,  -   ,  2 ,  4 ,  8 ,  4 ,  -   
HAMTIC,  10.535 ,  9.887 ,  630 ,  -   ,  -   ,  3 ,  5 ,  7 ,  3 ,  -   
LAUA-AN,  6.080 ,  5.582 ,  486 ,  1 ,  4 ,  -   ,  4 ,  -   ,  2 ,  1 
LIBERTAD,  3.639 ,  3.463 ,  168 ,  3 ,  2 ,  -   ,  -   ,  2 ,  1 ,  -   
PANDAN,  7.825 ,  7.396 ,  312 ,  2 ,  -   ,  53 ,  37 ,  16 ,  9 ,  -   
PATNONGON,  8.593 ,  7.797 ,  777 ,  1 ,  -   ,  5 ,  -   ,  4 ,  9 ,  -   
SAN JOSE (Capital),  13.561 ,  13.295 ,  234 ,  3 ,  -   ,  3 ,  20 ,  1 ,  5 ,  -   
SAN REMIGIO,  6.590 ,  5.135 ,  1.254 ,  6 ,  -   ,  60 ,  64 ,  71 ,  -   ,  -   
SEBASTE,  4.029 ,  3.845 ,  161 ,  1 ,  1 ,  1 ,  7 ,  12 ,  1 ,  -   
SIBALOM,  13.213 ,  12.345 ,  811 ,  2 ,  -   ,  3 ,  16 ,  27 ,  9 ,  -   
TIBIAO,  6.348 ,  5.826 ,  489 ,  12 ,  -   ,  6 ,  10 ,  4 ,  1 ,  -   
VALDERRAMA,  4.194 ,  3.494 ,  627 ,  6 ,  8 ,  20 ,  2 ,  35 ,  2 ,  -   
CAPIZ,  179.983 ,  158.331 ,  18.062 ,  62 ,  11 ,  709 ,  2.552 ,  161 ,  95 ,  -   
CUARTERO,  6.446 ,  5.619 ,  720 ,  -   ,  -   ,  13 ,  86 ,  -   ,  8 ,  -   
DAO,  7.750 ,  6.820 ,  883 ,  1 ,  -   ,  10 ,  32 ,  3 ,  1 ,  -   
DUMALAG,  7.081 ,  6.487 ,  556 ,  -   ,  -   ,  4 ,  31 ,  3 ,  -   ,  -   
DUMARAO,  11.067 ,  9.199 ,  1.529 ,  1 ,  -   ,  65 ,  265 ,  2 ,  6 ,  -   
IVISAN,  6.738 ,  6.277 ,  431 ,  2 ,  -   ,  6 ,  11 ,  8 ,  3 ,  -   
JAMINDAN,  8.576 ,  6.233 ,  2.007 ,  2 ,  -   ,  105 ,  219 ,  7 ,  3 ,  -   
MA-AYON,  9.280 ,  7.731 ,  1.265 ,  2 ,  2 ,  76 ,  191 ,  8 ,  5 ,  -   
MAMBUSAO,  9.702 ,  8.680 ,  983 ,  1 ,  1 ,  7 ,  15 ,  3 ,  12 ,  -   
PANAY,  11.088 ,  10.443 ,  530 ,  1 ,  -   ,  28 ,  69 ,  11 ,  6 ,  -   
PANITAN,  9.719 ,  8.958 ,  731 ,  3 ,  1 ,  7 ,  13 ,  2 ,  4 ,  -   
PILAR,  10.757 ,  9.427 ,  968 ,  11 ,  2 ,  33 ,  306 ,  4 ,  6 ,  -   
PONTEVEDRA,  11.298 ,  10.304 ,  914 ,  4 ,  3 ,  18 ,  45 ,  6 ,  4 ,  -   
PRESIDENT ROXAS,  6.986 ,  6.073 ,  688 ,  -   ,  -   ,  24 ,  192 ,  4 ,  5 ,  -   
ROXAS CITY (Capital),  37.701 ,  36.014 ,  1.313 ,  15 ,  1 ,  111 ,  132 ,  94 ,  21 ,  -   
SAPI-AN,  6.197 ,  5.330 ,  816 ,  6 ,  -   ,  14 ,  20 ,  3 ,  8 ,  -   
SIGMA,  7.418 ,  6.646 ,  738 ,  12 ,  -   ,  1 ,  19 ,  -   ,  2 ,  -   
TAPAZ,  12.179 ,  8.090 ,  2.990 ,  1 ,  1 ,  187 ,  906 ,  3 ,  1 ,  -   
ILOILO (excluding Iloilo City),  435.549 ,  384.217 ,  38.932 ,  324 ,  57 ,  3.498 ,  5.371 ,  2.989 ,  160 ,  1 
AJUY,  12.221 ,  10.457 ,  945 ,  16 ,  4 ,  419 ,  156 ,  179 ,  45 ,  -   
ALIMODIAN,  8.067 ,  7.640 ,  412 ,  1 ,  1 ,  5 ,  -   ,  1 ,  7 ,  -   
ANILAO,  6.561 ,  5.667 ,  866 ,  -   ,  -   ,  12 ,  15 ,  1 ,  -   ,  -   
BADIANGAN,  5.897 ,  5.351 ,  535 ,  1 ,  -   ,  1 ,  3 ,  1 ,  5 ,  -   
BALASAN,  8.090 ,  7.038 ,  966 ,  1 ,  1 ,  13 ,  67 ,  4 ,  -   ,  -   
BANATE,  7.993 ,  7.501 ,  475 ,  1 ,  1 ,  3 ,  7 ,  4 ,  1 ,  -   
BAROTAC NUEVO,  11.991 ,  11.191 ,  752 ,  13 ,  1 ,  13 ,  14 ,  6 ,  1 ,  -   
BAROTAC VIEJO,  11.091 ,  9.971 ,  1.079 ,  2 ,  -   ,  7 ,  26 ,  3 ,  3 ,  -   
BATAD,  5.154 ,  4.099 ,  955 ,  -   ,  -   ,  11 ,  75 ,  7 ,  7 ,  -   
BINGAWAN,  3.467 ,  2.944 ,  502 ,  -   ,  -   ,  2 ,  17 ,  2 ,  -   ,  -   
CABATUAN,  12.715 ,  12.268 ,  419 ,  4 ,  11 ,  3 ,  6 ,  4 ,  -   ,  -   
CALINOG,  13.155 ,  9.896 ,  2.800 ,  4 ,  2 ,  255 ,  168 ,  10 ,  20 ,  -   
CARLES,  15.278 ,  9.564 ,  2.157 ,  27 ,  7 ,  1.087 ,  1.030 ,  1.399 ,  7 ,  -   
CONCEPCION,  10.069 ,  5.016 ,  1.128 ,  53 ,  1 ,  934 ,  1.884 ,  1.040 ,  13 ,  -   
