City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
LUPON,  15.250 ,  2.780 ,  2.934 ,  1.503 ,  5.703 ,  367 ,  391 ,  1.174 ,  175 ,  56 ,  -   ,  165 ,  2 ,  -   
MANAY,  9.666 ,  2.223 ,  1.586 ,  284 ,  721 ,  124 ,  971 ,  2.622 ,  241 ,  773 ,  9 ,  112 ,  -   ,  -   
CITY OF MATI (Capital),  32.492 ,  12.616 ,  7.831 ,  959 ,  5.039 ,  944 ,  1.064 ,  3.234 ,  252 ,  203 ,  76 ,  267 ,  7 ,  -   
SAN ISIDRO,  7.821 ,  1.626 ,  1.188 ,  639 ,  2.607 ,  155 ,  273 ,  886 ,  403 ,  3 ,  2 ,  22 ,  17 ,  -   
TARRAGONA,  5.765 ,  640 ,  1.944 ,  90 ,  757 ,  73 ,  63 ,  1.489 ,  546 ,  138 ,  -   ,  23 ,  2 ,  -   
COMPOSTELA VALLEY,  169.441 ,  43.580 ,  37.002 ,  6.863 ,  35.641 ,  6.722 ,  10.891 ,  19.383 ,  4.196 ,  1.779 ,  1.548 ,  1.792 ,  44 ,  -   
COMPOSTELA,  19.093 ,  3.135 ,  3.476 ,  1.838 ,  7.372 ,  1.259 ,  193 ,  1.433 ,  107 ,  51 ,  190 ,  39 ,  -   ,  -   
LAAK (SAN VICENTE),  17.537 ,  2.038 ,  5.139 ,  226 ,  2.409 ,  238 ,  4.033 ,  1.959 ,  964 ,  375 ,  101 ,  55 ,  -   ,  -   
MABINI (DOÑA ALICIA),  9.654 ,  1.211 ,  1.463 ,  436 ,  3.823 ,  295 ,  127 ,  2.203 ,  9 ,  30 ,  13 ,  41 ,  3 ,  -   
MACO,  19.150 ,  7.185 ,  4.122 ,  655 ,  2.730 ,  633 ,  647 ,  2.266 ,  475 ,  97 ,  59 ,  250 ,  31 ,  -   
MARAGUSAN (SAN MARIANO),  14.349 ,  8.402 ,  4.567 ,  185 ,  825 ,  41 ,  112 ,  92 ,  5 ,  58 ,  2 ,  60 ,  -   ,  -   
MAWAB,  8.334 ,  1.325 ,  1.898 ,  697 ,  2.237 ,  653 ,  407 ,  923 ,  13 ,  66 ,  81 ,  34 ,  -   ,  -   
MONKAYO,  21.451 ,  5.260 ,  4.823 ,  473 ,  2.840 ,  1.291 ,  1.634 ,  3.132 ,  1.333 ,  499 ,  116 ,  50 ,  -   ,  -   
MONTEVISTA,  10.067 ,  1.725 ,  2.877 ,  354 ,  1.406 ,  62 ,  1.878 ,  851 ,  417 ,  115 ,  12 ,  370 ,  -   ,  -   
NABUNTURAN (Capital),  18.894 ,  5.838 ,  2.069 ,  742 ,  4.312 ,  181 ,  1.337 ,  1.867 ,  704 ,  441 ,  890 ,  513 ,  -   ,  -   
NEW BATAAN,  11.637 ,  5.422 ,  2.763 ,  395 ,  651 ,  554 ,  33 ,  1.706 ,  52 ,  15 ,  12 ,  34 ,  -   ,  -   
PANTUKAN,  19.275 ,  2.039 ,  3.805 ,  862 ,  7.036 ,  1.515 ,  490 ,  2.951 ,  117 ,  32 ,  72 ,  346 ,  10 ,  -   
DAVAO OCCIDENTAL,  77.431 ,  8.280 ,  13.324 ,  2.349 ,  18.246 ,  3.536 ,  6.147 ,  16.233 ,  7.831 ,  866 ,  505 ,  82 ,  32 ,  -   
DON MARCELINO,  11.207 ,  1.494 ,  2.294 ,  61 ,  1.279 ,  1.332 ,  1.014 ,  1.766 ,  1.548 ,  218 ,  181 ,  14 ,  6 ,  -   
JOSE ABAD SANTOS (TRINIDAD),  18.117 ,  397 ,  3.101 ,  521 ,  3.537 ,  857 ,  1.477 ,  4.843 ,  3.059 ,  322 ,  1 ,  -   ,  2 ,  -   
MALITA,  28.627 ,  5.275 ,  4.693 ,  671 ,  4.978 ,  700 ,  2.498 ,  7.264 ,  2.267 ,  62 ,  151 ,  59 ,  9 ,  -   
SANTA MARIA,  13.638 ,  821 ,  882 ,  1.030 ,  7.224 ,  487 ,  607 ,  1.583 ,  822 ,  166 ,  -   ,  6 ,  10 ,  -   
SARANGANI,  5.842 ,  293 ,  2.354 ,  66 ,  1.228 ,  160 ,  551 ,  777 ,  135 ,  98 ,  172 ,  3 ,  5 ,  -   
,,,,,,,,,,,,,,
REGION XII - SOCCSKSARGEN,  1.050.654 ,  287.185 ,  182.482 ,  122.103 ,  209.789 ,  47.503 ,  73.462 ,  72.408 ,  23.920 ,  8.669 ,  12.153 ,  9.266 ,  1.714 ,  -   
COTABATO (NORTH COTABATO),  320.567 ,  81.953 ,  42.821 ,  33.868 ,  71.939 ,  11.466 ,  41.219 ,  22.564 ,  4.810 ,  826 ,  6.636 ,  2.101 ,  364 ,  -   
ALAMADA,  14.993 ,  3.542 ,  2.929 ,  410 ,  984 ,  287 ,  1.684 ,  3.674 ,  1.286 ,  181 ,  12 ,  2 ,  2 ,  -   
CARMEN,  21.905 ,  4.671 ,  3.319 ,  1.339 ,  4.977 ,  1.306 ,  2.454 ,  3.244 ,  399 ,  166 ,  18 ,  9 ,  3 ,  -   
KABACAN,  20.094 ,  5.812 ,  1.179 ,  3.219 ,  6.906 ,  1.123 ,  500 ,  1.094 ,  222 ,  4 ,  1 ,  24 ,  10 ,  -   
CITY OF KIDAPAWAN (Capital),  33.250 ,  23.022 ,  5.861 ,  1.032 ,  868 ,  44 ,  684 ,  1.009 ,  206 ,  31 ,  384 ,  89 ,  20 ,  -   
LIBUNGAN,  11.476 ,  1.329 ,  1.155 ,  1.565 ,  3.675 ,  1.069 ,  1.033 ,  1.023 ,  136 ,  26 ,  208 ,  253 ,  4 ,  -   
MAGPET,  11.181 ,  4.814 ,  4.180 ,  182 ,  627 ,  61 ,  390 ,  651 ,  230 ,  16 ,  18 ,  10 ,  2 ,  -   
MAKILALA,  19.356 ,  8.294 ,  4.936 ,  672 ,  1.835 ,  84 ,  869 ,  2.313 ,  157 ,  22 ,  153 ,  21 ,  -   ,  -   
MATALAM,  18.816 ,  3.937 ,  2.560 ,  2.427 ,  5.982 ,  250 ,  1.226 ,  1.641 ,  706 ,  72 ,  2 ,  8 ,  5 ,  -   
MIDSAYAP,  34.198 ,  2.900 ,  1.930 ,  3.812 ,  8.230 ,  2.085 ,  8.699 ,  303 ,  82 ,  26 ,  4.941 ,  1.186 ,  4 ,  -   
M'LANG,  23.645 ,  8.176 ,  2.007 ,  4.599 ,  6.199 ,  1.462 ,  239 ,  453 ,  24 ,  41 ,  16 ,  147 ,  282 ,  -   
PIGKAWAYAN,  15.826 ,  1.512 ,  1.304 ,  3.589 ,  6.534 ,  298 ,  1.551 ,  662 ,  181 ,  61 ,  2 ,  126 ,  6 ,  -   
PIKIT,  36.099 ,  1.800 ,  1.019 ,  4.085 ,  11.321 ,  2.411 ,  14.349 ,  291 ,  142 ,  9 ,  637 ,  31 ,  4 ,  -   
PRESIDENT ROXAS,  10.927 ,  2.552 ,  1.537 ,  807 ,  1.419 ,  203 ,  2.094 ,  2.047 ,  180 ,  4 ,  54 ,  21 ,  9 ,  -   
TULUNAN,  13.513 ,  1.373 ,  1.917 ,  4.182 ,  5.215 ,  222 ,  308 ,  170 ,  7 ,  43 ,  -   ,  74 ,  2 ,  -   
ANTIPAS,  6.071 ,  2.692 ,  1.017 ,  147 ,  450 ,  111 ,  192 ,  1.423 ,  29 ,  3 ,  -   ,  4 ,  3 ,  -   
BANISILAN,  9.649 ,  1.149 ,  1.136 ,  894 ,  2.127 ,  56 ,  1.996 ,  1.449 ,  646 ,  24 ,  140 ,  25 ,  7 ,  -   
ALEOSAN,  8.845 ,  853 ,  1.388 ,  536 ,  3.309 ,  174 ,  2.117 ,  318 ,  23 ,  17 ,  47 ,  63 ,  -   ,  -   
ARAKAN,  10.723 ,  3.525 ,  3.447 ,  371 ,  1.281 ,  220 ,  834 ,  799 ,  154 ,  80 ,  3 ,  8 ,  1 ,  -   
SOUTH COTABATO (excluding General Santos City),  217.926 ,  62.266 ,  40.722 ,  32.099 ,  40.813 ,  8.546 ,  7.684 ,  18.603 ,  3.020 ,  1.040 ,  1.122 ,  1.842 ,  169 ,  -   
BANGA,  21.100 ,  3.993 ,  1.796 ,  3.643 ,  6.490 ,  2.379 ,  686 ,  1.674 ,  267 ,  4 ,  8 ,  141 ,  19 ,  -   
CITY OF KORONADAL (Capital),  42.902 ,  13.915 ,  3.925 ,  10.344 ,  10.552 ,  917 ,  421 ,  1.517 ,  160 ,  15 ,  56 ,  956 ,  124 ,  -   
NORALA,  10.601 ,  1.759 ,  305 ,  3.763 ,  3.686 ,  377 ,  160 ,  427 ,  38 ,  -   ,  11 ,  74 ,  1 ,  -   
POLOMOLOK,  36.720 ,  20.606 ,  7.192 ,  2.018 ,  3.405 ,  88 ,  444 ,  1.701 ,  320 ,  183 ,  540 ,  217 ,  6 ,  -   
SURALLAH,  20.330 ,  7.046 ,  2.164 ,  2.700 ,  3.383 ,  1.172 ,  1.009 ,  2.396 ,  108 ,  9 ,  195 ,  140 ,  8 ,  -   
TAMPAKAN,  9.444 ,  2.311 ,  2.218 ,  1.235 ,  1.606 ,  643 ,  83 ,  911 ,  388 ,  20 ,  1 ,  27 ,  1 ,  -   
TANTANGAN,  10.396 ,  2.412 ,  2.168 ,  1.510 ,  2.085 ,  1.539 ,  334 ,  139 ,  30 ,  8 ,  95 ,  74 ,  2 ,  -   
T'BOLI,  21.441 ,  3.465 ,  10.117 ,  232 ,  2.676 ,  421 ,  786 ,  2.758 ,  279 ,  664 ,  10 ,  29 ,  4 ,  -   
TUPI,  16.695 ,  3.501 ,  4.576 ,  1.981 ,  2.629 ,  337 ,  290 ,  2.876 ,  281 ,  108 ,  76 ,  40 ,  -   ,  -   
SANTO NIÑO,  9.719 ,  2.159 ,  599 ,  3.909 ,  2.509 ,  212 ,  45 ,  90 ,  10 ,  1 ,  57 ,  128 ,  -   ,  -   
LAKE SEBU,  18.578 ,  1.099 ,  5.662 ,  764 ,  1.792 ,  461 ,  3.426 ,  4.114 ,  1.139 ,  28 ,  73 ,  16 ,  4 ,  -   
GENERAL SANTOS CITY (DADIANGAS),  144.332 ,  72.381 ,  31.201 ,  11.388 ,  19.279 ,  2.244 ,  1.372 ,  1.701 ,  574 ,  534 ,  1.651 ,  1.653 ,  354 ,  -   
SULTAN KUDARAT,  184.650 ,  20.649 ,  20.401 ,  33.164 ,  46.847 ,  21.227 ,  11.815 ,  17.012 ,  8.443 ,  3.605 ,  124 ,  1.237 ,  126 ,  -   
BAGUMBAYAN,  15.440 ,  1.948 ,  2.624 ,  1.549 ,  1.691 ,  3.410 ,  1.693 ,  2.079 ,  299 ,  117 ,  9 ,  20 ,  1 ,  -   
COLUMBIO,  8.134 ,  168 ,  1.316 ,  1.317 ,  2.775 ,  379 ,  605 ,  1.250 ,  251 ,  61 ,  -   ,  12 ,  -   ,  -   
ESPERANZA,  15.868 ,  1.467 ,  1.316 ,  6.235 ,  3.011 ,  450 ,  256 ,  1.435 ,  1.085 ,  361 ,  21 ,  228 ,  3 ,  -   
ISULAN (Capital),  20.332 ,  4.398 ,  1.003 ,  5.767 ,  5.553 ,  1.987 ,  72 ,  1.068 ,  40 ,  12 ,  52 ,  377 ,  3 ,  -   
KALAMANSIG,  10.957 ,  1.147 ,  3.090 ,  271 ,  1.423 ,  992 ,  341 ,  1.472 ,  1.652 ,  479 ,  -   ,  15 ,  75 ,  -   
LEBAK,  20.388 ,  1.527 ,  2.906 ,  1.173 ,  4.190 ,  1.391 ,  3.306 ,  3.855 ,  1.796 ,  163 ,  12 ,  69 ,  -   ,  -   
LUTAYAN,  13.092 ,  255 ,  2.104 ,  2.854 ,  6.314 ,  818 ,  478 ,  166 ,  15 ,  26 ,  2 ,  46 ,  14 ,  -   
LAMBAYONG (MARIANO MARCOS),  17.815 ,  439 ,  422 ,  2.925 ,  8.078 ,  4.716 ,  7 ,  1.126 ,  12 ,  3 ,  -   ,  84 ,  3 ,  -   
PALIMBANG,  19.121 ,  262 ,  1.504 ,  2.057 ,  4.919 ,  2.297 ,  2.215 ,  2.153 ,  1.363 ,  2.328 ,  11 ,  1 ,  11 ,  -   
PRESIDENT QUIRINO,  9.966 ,  479 ,  224 ,  2.524 ,  3.740 ,  2.489 ,  67 ,  397 ,  1 ,  -   ,  5 ,  35 ,  5 ,  -   
CITY OF TACURONG,  21.814 ,  8.110 ,  1.476 ,  5.787 ,  4.297 ,  1.462 ,  271 ,  57 ,  1 ,  11 ,  6 ,  325 ,  11 ,  -   
SEN. NINOY AQUINO,  11.723 ,  449 ,  2.416 ,  705 ,  856 ,  836 ,  2.504 ,  1.954 ,  1.928 ,  44 ,  6 ,  25 ,  -   ,  -   
SARANGANI,  124.313 ,  16.594 ,  31.067 ,  10.822 ,  28.666 ,  3.755 ,  9.358 ,  12.522 ,  7.067 ,  2.606 ,  68 ,  1.649 ,  139 ,  -   
ALABEL (Capital),  17.929 ,  4.373 ,  4.082 ,  1.834 ,  3.175 ,  795 ,  636 ,  2.181 ,  386 ,  376 ,  -   ,  90 ,  1 ,  -   
GLAN,  28.366 ,  3.126 ,  5.150 ,  2.839 ,  5.981 ,  1.320 ,  2.715 ,  3.919 ,  2.722 ,  240 ,  13 ,  341 ,  -   ,  -   
KIAMBA,  13.588 ,  527 ,  3.732 ,  1.716 ,  4.621 ,  662 ,  402 ,  1.013 ,  494 ,  393 ,  8 ,  20 ,  -   ,  -   
MAASIM,  13.260 ,  1.804 ,  3.607 ,  1.577 ,  3.743 ,  221 ,  186 ,  866 ,  60 ,  166 ,  12 ,  886 ,  132 ,  -   
MAITUM,  10.631 ,  818 ,  3.097 ,  969 ,  3.643 ,  368 ,  493 ,  342 ,  569 ,  149 ,  6 ,  177 ,  -   ,  -   
MALAPATAN,  15.958 ,  1.677 ,  4.288 ,  974 ,  4.374 ,  139 ,  575 ,  1.778 ,  933 ,  1.146 ,  19 ,  49 ,  6 ,  -   
MALUNGON,  24.581 ,  4.269 ,  7.111 ,  913 ,  3.129 ,  250 ,  4.351 ,  2.423 ,  1.903 ,  136 ,  10 ,  86 ,  -   ,  -   
COTABATO CITY,  58.866 ,  33.342 ,  16.270 ,  762 ,  2.245 ,  265 ,  2.014 ,  6 ,  6 ,  58 ,  2.552 ,  784 ,  562 ,  -   
,,,,,,,,,,,,,,
REGION XIII - CARAGA,  573.998 ,  199.468 ,  137.792 ,  23.209 ,  95.541 ,  9.429 ,  24.203 ,  36.102 ,  14.045 ,  16.540 ,  10.521 ,  6.690 ,  458 ,  -   
AGUSAN DEL NORTE (excluding Butuan City),  77.609 ,  20.195 ,  20.964 ,  3.872 ,  23.515 ,  1.258 ,  1.254 ,  3.303 ,  1.272 ,  225 ,  1.103 ,  636 ,  12 ,  -   
BUENAVISTA,  13.924 ,  3.987 ,  1.557 ,  1.244 ,  4.960 ,  342 ,  339 ,  859 ,  381 ,  46 ,  39 ,  158 ,  12 ,  -   
CITY OF CABADBARAN,  16.698 ,  3.383 ,  4.032 ,  1.405 ,  7.004 ,  439 ,  28 ,  302 ,  7 ,  -   ,  12 ,  86 ,  -   ,  -   
CARMEN,  4.711 ,  555 ,  598 ,  264 ,  2.934 ,  67 ,  121 ,  88 ,  9 ,  1 ,  50 ,  24 ,  -   ,  -   
JABONGA,  5.155 ,  1.649 ,  2.323 ,  133 ,  588 ,  1 ,  5 ,  221 ,  186 ,  25 ,  2 ,  22 ,  -   ,  -   
KITCHARAO,  4.326 ,  936 ,  1.964 ,  236 ,  970 ,  17 ,  -   ,  92 ,  66 ,  29 ,  -   ,  16 ,  -   ,  -   
LAS NIEVES,  5.717 ,  1.916 ,  1.573 ,  73 ,  1.037 ,  75 ,  546 ,  421 ,  61 ,  8 ,  1 ,  6 ,  -   ,  -   
MAGALLANES,  4.481 ,  1.011 ,  2.114 ,  43 ,  102 ,  46 ,  31 ,  62 ,  24 ,  15 ,  987 ,  46 ,  -   ,  -   
NASIPIT,  9.155 ,  4.357 ,  844 ,  275 ,  2.723 ,  238 ,  96 ,  144 ,  304 ,  -   ,  4 ,  170 ,  -   ,  -   
SANTIAGO,  4.681 ,  826 ,  2.878 ,  26 ,  596 ,  -   ,  12 ,  150 ,  71 ,  101 ,  3 ,  18 ,  -   ,  -   
TUBAY,  5.254 ,  767 ,  1.692 ,  64 ,  1.837 ,  13 ,  6 ,  738 ,  50 ,  -   ,  4 ,  83 ,  -   ,  -   
REMEDIOS T. ROMUALDEZ,  3.507 ,  808 ,  1.389 ,  109 ,  764 ,  20 ,  70 ,  226 ,  113 ,  -   ,  1 ,  7 ,  -   ,  -   
BUTUAN CITY (Capital),  76.206 ,  38.986 ,  9.841 ,  2.333 ,  16.613 ,  546 ,  1.053 ,  3.145 ,  328 ,  182 ,  1.319 ,  1.823 ,  37 ,  -   
AGUSAN DEL SUR,  153.653 ,  27.907 ,  31.888 ,  5.499 ,  26.986 ,  2.289 ,  16.697 ,  15.865 ,  7.435 ,  11.303 ,  5.562 ,  2.133 ,  89 ,  -   
CITY OF BAYUGAN,  22.658 ,  6.524 ,  3.546 ,  1.594 ,  6.180 ,  166 ,  365 ,  2.989 ,  711 ,  166 ,  6 ,  393 ,  18 ,  -   
BUNAWAN,  10.530 ,  1.279 ,  3.235 ,  540 ,  348 ,  54 ,  1.523 ,  1.544 ,  272 ,  1.301 ,  246 ,  186 ,  2 ,  -   
ESPERANZA,  11.654 ,  1.951 ,  2.172 ,  290 ,  4.969 ,  41 ,  199 ,  1.331 ,  594 ,  64 ,  1 ,  26 ,  16 ,  -   
LA PAZ,  5.297 ,  29 ,  1.027 ,  36 ,  302 ,  26 ,  727 ,  347 ,  630 ,  1.687 ,  429 ,  42 ,  15 ,  -   
LORETO,  9.028 ,  230 ,  1.261 ,  527 ,  2.384 ,  227 ,  1.422 ,  1.174 ,  899 ,  820 ,  62 ,  22 ,  -   ,  -   
PROSPERIDAD (Capital),  18.423 ,  3.044 ,  4.752 ,  316 ,  2.168 ,  73 ,  4.157 ,  1.051 ,  607 ,  1.746 ,  125 ,  380 ,  4 ,  -   
ROSARIO,  10.097 ,  2.058 ,  2.805 ,  235 ,  1.971 ,  219 ,  503 ,  1.044 ,  219 ,  462 ,  464 ,  111 ,  6 ,  -   
SAN FRANCISCO,  17.151 ,  7.111 ,  4.806 ,  420 ,  1.020 ,  98 ,  1.632 ,  645 ,  56 ,  913 ,  62 ,  368 ,  20 ,  -   
SAN LUIS,  6.700 ,  1.382 ,  1.077 ,  109 ,  2.022 ,  55 ,  553 ,  573 ,  560 ,  363 ,  2 ,  4 ,  -   ,  -   
SANTA JOSEFA,  5.860 ,  463 ,  948 ,  85 ,  851 ,  684 ,  719 ,  792 ,  401 ,  113 ,  707 ,  95 ,  2 ,  -   
TALACOGON,  8.285 ,  1.772 ,  1.434 ,  156 ,  1.292 ,  72 ,  817 ,  266 ,  391 ,  1.482 ,  484 ,  118 ,  1 ,  -   
TRENTO,  11.931 ,  486 ,  1.213 ,  713 ,  2.343 ,  448 ,  1.737 ,  759 ,  734 ,  205 ,  2.959 ,  329 ,  5 ,  -   
VERUELA,  9.395 ,  717 ,  2.839 ,  344 ,  459 ,  53 ,  2.104 ,  895 ,  17 ,  1.913 ,  2 ,  52 ,  -   ,  -   
SIBAGAT,  6.644 ,  861 ,  773 ,  134 ,  677 ,  73 ,  239 ,  2.455 ,  1.344 ,  68 ,  13 ,  7 ,  -   ,  -   
SURIGAO DEL NORTE,  108.814 ,  56.089 ,  29.631 ,  3.107 ,  9.329 ,  1.103 ,  1.874 ,  3.516 ,  479 ,  1.392 ,  968 ,  1.050 ,  276 ,  -   
ALEGRIA,  3.415 ,  1.730 ,  841 ,  255 ,  473 ,  2 ,  5 ,  47 ,  43 ,  6 ,  -   ,  5 ,  8 ,  -   
BACUAG,  3.107 ,  1.421 ,  1.255 ,  45 ,  240 ,  22 ,  28 ,  59 ,  2 ,  23 ,  1 ,  10 ,  1 ,  -   
BURGOS,  919 ,  68 ,  297 ,  201 ,  333 ,  2 ,  6 ,  5 ,  -   ,  1 ,  -   ,  6 ,  -   ,  -   
CLAVER,  7.357 ,  1.782 ,  3.122 ,  392 ,  485 ,  397 ,  351 ,  276 ,  20 ,  6 ,  -   ,  525 ,  1 ,  -   
DAPA,  5.139 ,  1.548 ,  1.536 ,  116 ,  770 ,  183 ,  50 ,  81 ,  -   ,  102 ,  655 ,  98 ,  -   ,  -   
DEL CARMEN,  3.973 ,  1.184 ,  1.951 ,  174 ,  73 ,  7 ,  351 ,  25 ,  2 ,  148 ,  17 ,  33 ,  8 ,  -   
GENERAL LUNA,  3.847 ,  186 ,  1.257 ,  265 ,  1.524 ,  14 ,  189 ,  1 ,  4 ,  122 ,  9 ,  53 ,  223 ,  -   
GIGAQUIT,  4.532 ,  381 ,  1.092 ,  649 ,  1.368 ,  26 ,  253 ,  417 ,  2 ,  299 ,  1 ,  43 ,  1 ,  -   
MAINIT,  5.975 ,  4.166 ,  1.456 ,  35 ,  64 ,  6 ,  5 ,  209 ,  12 ,  4 ,  -   ,  16 ,  2 ,  -   
MALIMONO,  3.995 ,  3.109 ,  732 ,  5 ,  16 ,  2 ,  59 ,  21 ,  -   ,  -   ,  32 ,  19 ,  -   ,  -   
PILAR,  2.401 ,  579 ,  870 ,  61 ,  482 ,  3 ,  77 ,  -   ,  -   ,  322 ,  -   ,  7 ,  -   ,  -   
PLACER,  5.922 ,  4.347 ,  658 ,  46 ,  228 ,  12 ,  16 ,  479 ,  57 ,  20 ,  14 ,  26 ,  19 ,  -   
SAN BENITO,  1.222 ,  109 ,  781 ,  14 ,  38 ,  2 ,  119 ,  9 ,  87 ,  19 ,  41 ,  3 ,  -   ,  -   
SAN FRANCISCO (ANAO-AON),  3.256 ,  2.569 ,  490 ,  29 ,  83 ,  2 ,  1 ,  65 ,  3 ,  2 ,  1 ,  11 ,  -   ,  -   
SAN ISIDRO,  1.625 ,  489 ,  834 ,  19 ,  108 ,  -   ,  71 ,  32 ,  1 ,  65 ,  -   ,  6 ,  -   ,  -   
SANTA MONICA (SAPAO),  1.986 ,  1.138 ,  537 ,  106 ,  40 ,  19 ,  4 ,  2 ,  -   ,  136 ,  -   ,  4 ,  -   ,  -   
SISON,  2.920 ,  1.856 ,  905 ,  -   ,  16 ,  28 ,  5 ,  27 ,  65 ,  6 ,  -   ,  12 ,  -   ,  -   
SOCORRO,  4.417 ,  2.441 ,  1.328 ,  226 ,  315 ,  9 ,  18 ,  36 ,  12 ,  19 ,  -   ,  13 ,  -   ,  -   
SURIGAO CITY (Capital),  35.784 ,  22.951 ,  7.506 ,  440 ,  2.596 ,  360 ,  185 ,  1.277 ,  140 ,  64 ,  107 ,  145 ,  13 ,  -   
TAGANA-AN,  3.779 ,  1.479 ,  1.949 ,  22 ,  68 ,  5 ,  62 ,  43 ,  22 ,  27 ,  88 ,  14 ,  -   ,  -   
TUBOD,  3.243 ,  2.556 ,  234 ,  7 ,  9 ,  2 ,  19 ,  405 ,  7 ,  1 ,  2 ,  1 ,  -   ,  -   
SURIGAO DEL SUR,  129.159 ,  45.961 ,  33.677 ,  7.612 ,  16.925 ,  3.832 ,  2.611 ,  8.947 ,  4.315 ,  2.945 ,  1.336 ,  958 ,  40 ,  -   
BAROBO,  10.690 ,  2.434 ,  4.644 ,  101 ,  1.477 ,  8 ,  198 ,  384 ,  9 ,  1.055 ,  229 ,  147 ,  4 ,  -   
BAYABAS,  1.738 ,  332 ,  884 ,  96 ,  300 ,  1 ,  70 ,  45 ,  5 ,  1 ,  1 ,  3 ,  -   ,  -   
CITY OF BISLIG,  21.314 ,  11.956 ,  2.905 ,  174 ,  1.394 ,  104 ,  256 ,  2.802 ,  1.319 ,  183 ,  151 ,  70 ,  -   ,  -   
CAGWAIT,  4.359 ,  1.699 ,  1.526 ,  23 ,  326 ,  10 ,  75 ,  299 ,  164 ,  174 ,  3 ,  60 ,  -   ,  -   
CANTILAN,  7.058 ,  2.569 ,  701 ,  1.372 ,  1.399 ,  760 ,  128 ,  90 ,  -   ,  5 ,  5 ,  28 ,  1 ,  -   
CARMEN,  2.330 ,  742 ,  359 ,  718 ,  487 ,  2 ,  6 ,  5 ,  2 ,  5 ,  2 ,  2 ,  -   ,  -   
CARRASCAL,  5.018 ,  1.996 ,  1.752 ,  408 ,  344 ,  300 ,  2 ,  88 ,  6 ,  84 ,  -   ,  38 ,  -   ,  -   
CORTES,  3.530 ,  1.734 ,  1.350 ,  36 ,  78 ,  25 ,  126 ,  127 ,  1 ,  3 ,  43 ,  7 ,  -   ,  -   
HINATUAN,  8.867 ,  4.300 ,  2.160 ,  22 ,  246 ,  579 ,  252 ,  481 ,  242 ,  470 ,  2 ,  113 ,  -   ,  -   
LANUZA,  2.783 ,  972 ,  883 ,  358 ,  286 ,  2 ,  1 ,  97 ,  162 ,  20 ,  -   ,  2 ,  -   ,  -   
LIANGA,  6.302 ,  2.230 ,  2.653 ,  31 ,  695 ,  7 ,  50 ,  505 ,  68 ,  28 ,  -   ,  35 ,  -   ,  -   
LINGIG,  7.094 ,  457 ,  2.446 ,  188 ,  303 ,  110 ,  176 ,  1.085 ,  1.305 ,  1 ,  882 ,  141 ,  -   ,  -   
MADRID,  3.504 ,  659 ,  431 ,  1.035 ,  414 ,  955 ,  3 ,  -   ,  -   ,  -   ,  -   ,  7 ,  -   ,  -   
MARIHATAG,  3.699 ,  48 ,  2.582 ,  342 ,  542 ,  49 ,  28 ,  37 ,  44 ,  19 ,  1 ,  7 ,  -   ,  -   
SAN AGUSTIN,  4.584 ,  379 ,  600 ,  195 ,  2.555 ,  1 ,  122 ,  144 ,  464 ,  87 ,  -   ,  37 ,  -   ,  -   
SAN MIGUEL,  7.980 ,  2.666 ,  2.362 ,  256 ,  1.217 ,  41 ,  299 ,  742 ,  376 ,  8 ,  -   ,  13 ,  -   ,  -   
TAGBINA,  8.368 ,  3.085 ,  2.617 ,  92 ,  967 ,  82 ,  284 ,  524 ,  40 ,  651 ,  13 ,  13 ,  -   ,  -   
TAGO,  7.898 ,  1.264 ,  1.655 ,  1.103 ,  2.080 ,  527 ,  164 ,  914 ,  78 ,  12 ,  2 ,  99 ,  -   ,  -   
CITY OF TANDAG (Capital),  12.043 ,  6.439 ,  1.167 ,  1.062 ,  1.815 ,  269 ,  371 ,  578 ,  30 ,  139 ,  2 ,  136 ,  35 ,  -   
DINAGAT ISLANDS,  28.557 ,  10.330 ,  11.791 ,  786 ,  2.173 ,  401 ,  714 ,  1.326 ,  216 ,  493 ,  233 ,  90 ,  4 ,  -   
BASILISA (RIZAL),  8.588 ,  1.864 ,  4.430 ,  301 ,  823 ,  185 ,  248 ,  418 ,  89 ,  215 ,  2 ,  13 ,  -   ,  -   
CAGDIANAO,  3.777 ,  1.456 ,  1.552 ,  41 ,  153 ,  17 ,  36 ,  206 ,  77 ,  45 ,  190 ,  2 ,  2 ,  -   
DINAGAT,  2.220 ,  503 ,  414 ,  53 ,  476 ,  34 ,  297 ,  302 ,  36 ,  82 ,  1 ,  22 ,  -   ,  -   
LIBJO (ALBOR),  4.103 ,  1.590 ,  2.201 ,  37 ,  208 ,  3 ,  26 ,  19 ,  9 ,  6 ,  -   ,  4 ,  -   ,  -   
LORETO,  2.259 ,  1.704 ,  350 ,  41 ,  20 ,  60 ,  46 ,  26 ,  -   ,  11 ,  1 ,  -   ,  -   ,  -   
SAN JOSE (CAPITAL),  5.765 ,  2.314 ,  2.107 ,  305 ,  472 ,  84 ,  52 ,  355 ,  5 ,  8 ,  39 ,  22 ,  2 ,  -   
