Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
Own or owner like possession of house and lot,  4.789 ,  4.705 ,  65 ,  -   ,  4 ,  -   ,  -   ,  15 
Rent house/room including lot,  183 ,  147 ,  17 ,  14 ,  1 ,  -   ,  -   ,  4 
Own house rent lot,  33 ,  33 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.243 ,  2.205 ,  30 ,  6 ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  28 ,  27 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  402 ,  373 ,  20 ,  9 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  9 ,  8 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  PUERTO PRINCESA CITY (Capital) ,,,,,,,,
 Total ,  62.247 ,  49.199 ,  4.667 ,  7.785 ,  182 ,  15 ,  1 ,  398 
 Own or owner like possession of house and lot ,  27.916 ,  25.256 ,  1.511 ,  974 ,  59 ,  10 ,  -   ,  106 
 Rent house/room including lot ,  12.395 ,  5.032 ,  1.674 ,  5.515 ,  75 ,  1 ,  -   ,  98 
 Own house rent lot ,  2.138 ,  1.897 ,  101 ,  114 ,  3 ,  -   ,  -   ,  23 
 Own house rent-free lot with consent of owner ,  10.889 ,  9.801 ,  606 ,  393 ,  15 ,  2 ,  -   ,  72 
 Own house rent-free lot without consent of owner ,  3.450 ,  3.080 ,  208 ,  117 ,  -   ,  -   ,  -   ,  45 
 Rent-free house and lot with consent of owner ,  5.033 ,  3.844 ,  538 ,  567 ,  30 ,  2 ,  1 ,  51 
 Rent-free house and lot without consent of owner ,  426 ,  289 ,  29 ,  105 ,  -   ,  -   ,  -   ,  3 
 Not Applicable ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 Not Reported ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ROMBLON,,,,,,,,
Total,  68.362 ,  65.792 ,  1.847 ,  646 ,  46 ,  2 ,  -   ,  29 
Own or owner like possession of house and lot,  42.285 ,  40.941 ,  1.013 ,  291 ,  24 ,  -   ,  -   ,  16 
Rent house/room including lot,  1.695 ,  1.209 ,  262 ,  213 ,  11 ,  -   ,  -   ,  -   
Own house rent lot,  899 ,  871 ,  27 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  19.662 ,  19.229 ,  350 ,  66 ,  5 ,  -   ,  -   ,  12 
Own house rent-free lot without consent of owner,  209 ,  196 ,  10 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  3.552 ,  3.289 ,  182 ,  72 ,  6 ,  2 ,  -   ,  1 
Rent-free house and lot without consent of owner,  60 ,  57 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ALCANTARA,,,,,,,,
Total,  3.673 ,  3.456 ,  166 ,  49 ,  -   ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  2.590 ,  2.428 ,  123 ,  37 ,  -   ,  -   ,  -   ,  2 
Rent house/room including lot,  60 ,  51 ,  7 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  12 ,  11 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  819 ,  793 ,  20 ,  6 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  182 ,  163 ,  15 ,  4 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BANTON,,,,,,,,
Total,  1.420 ,  1.404 ,  16 ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  1.043 ,  1.031 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  18 ,  16 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  199 ,  199 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  158 ,  156 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CAJIDIOCAN,,,,,,,,
Total,  4.983 ,  4.862 ,  92 ,  25 ,  2 ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  2.944 ,  2.866 ,  57 ,  18 ,  1 ,  -   ,  -   ,  2 
Rent house/room including lot,  94 ,  84 ,  8 ,  1 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  81 ,  74 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.589 ,  1.575 ,  8 ,  6 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  22 ,  22 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  252 ,  240 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CALATRAVA,,,,,,,,
Total,  2.334 ,  2.277 ,  51 ,  6 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  1.529 ,  1.496 ,  30 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  72 ,  66 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  33 ,  33 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  600 ,  588 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  91 ,  85 ,  4 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CONCEPCION,,,,,,,,
Total,  1.048 ,  1.042 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  614 ,  611 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  292 ,  289 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  134 ,  134 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CORCUERA,,,,,,,,
Total,  2.471 ,  2.435 ,  20 ,  16 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  1.880 ,  1.854 ,  13 ,  13 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  27 ,  24 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  438 ,  434 ,  3 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  5 ,  3 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  113 ,  112 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LOOC,,,,,,,,
Total,  5.380 ,  5.101 ,  230 ,  45 ,  2 ,  2 ,  -   ,  -   
Own or owner like possession of house and lot,  3.076 ,  2.942 ,  110 ,  22 ,  2 ,  -   ,  -   ,  -   
Rent house/room including lot,  75 ,  62 ,  12 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  33 ,  30 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.904 ,  1.798 ,  91 ,  15 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  290 ,  268 ,  13 ,  7 ,  -   ,  2 ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MAGDIWANG,,,,,,,,
Total,  3.079 ,  3.013 ,  50 ,  14 ,  1 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  1.501 ,  1.474 ,  26 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  46 ,  42 ,  2 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  55 ,  55 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.282 ,  1.256 ,  18 ,  7 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  180 ,  171 ,  4 ,  4 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ODIONGAN,,,,,,,,
Total,  11.460 ,  10.909 ,  357 ,  179 ,  13 ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  8.000 ,  7.730 ,  206 ,  55 ,  7 ,  -   ,  -   ,  2 
Rent house/room including lot,  522 ,  335 ,  92 ,  92 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  144 ,  142 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.239 ,  2.190 ,  37 ,  12 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  515 ,  472 ,  20 ,  20 ,  3 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  9 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ROMBLON (CAPITAL),,,,,,,,
Total,  8.997 ,  8.281 ,  461 ,  233 ,  17 ,  -   ,  -   ,  5 
Own or owner like possession of house and lot,  5.047 ,  4.734 ,  213 ,  83 ,  13 ,  -   ,  -   ,  4 
Rent house/room including lot,  500 ,  287 ,  105 ,  107 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  254 ,  243 ,  10 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.570 ,  2.476 ,  77 ,  14 ,  2 ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  92 ,  82 ,  9 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  527 ,  453 ,  46 ,  27 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  7 ,  6 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN AGUSTIN,,,,,,,,
Total,  5.273 ,  5.123 ,  105 ,  41 ,  -   ,  -   ,  -   ,  4 
Own or owner like possession of house and lot,  2.805 ,  2.716 ,  53 ,  35 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  87 ,  77 ,  9 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  73 ,  71 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.005 ,  1.979 ,  22 ,  1 ,  -   ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  16 ,  15 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  280 ,  259 ,  17 ,  4 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  7 ,  6 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN ANDRES,,,,,,,,
Total,  3.550 ,  3.467 ,  58 ,  15 ,  6 ,  -   ,  -   ,  4 
Own or owner like possession of house and lot,  2.443 ,  2.387 ,  42 ,  13 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  32 ,  24 ,  2 ,  1 ,  5 ,  -   ,  -   ,  -   
Own house rent lot,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  960 ,  948 ,  7 ,  1 ,  1 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  10 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  97 ,  90 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN FERNANDO,,,,,,,,
Total,  5.055 ,  4.908 ,  132 ,  10 ,  3 ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  2.988 ,  2.902 ,  79 ,  5 ,  -   ,  -   ,  -   ,  2 
Rent house/room including lot,  54 ,  48 ,  5 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  32 ,  32 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.652 ,  1.623 ,  27 ,  1 ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  312 ,  286 ,  21 ,  4 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN JOSE,,,,,,,,
Total,  2.392 ,  2.374 ,  18 ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  2.030 ,  2.022 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  21 ,  15 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  286 ,  283 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  46 ,  45 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SANTA FE,,,,,,,,
Total,  3.711 ,  3.661 ,  37 ,  7 ,  1 ,  -   ,  -   ,  5 
Own or owner like possession of house and lot,  1.954 ,  1.941 ,  11 ,  -   ,  1 ,  -   ,  -   ,  1 
Rent house/room including lot,  36 ,  28 ,  3 ,  5 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.536 ,  1.518 ,  13 ,  2 ,  -   ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  174 ,  163 ,  10 ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 FERROL,,,,,,,,
Total,  1.656 ,  1.635 ,  20 ,  -   ,  1 ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  783 ,  772 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  11 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  803 ,  797 ,  5 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  55 ,  51 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SANTA MARIA (IMELDA),,,,,,,,
Total,  1.880 ,  1.844 ,  28 ,  6 ,  -   ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  1.058 ,  1.035 ,  16 ,  6 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  34 ,  33 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  150 ,  148 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  488 ,  483 ,  4 ,  -   ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  146 ,  141 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
,,,,,,,,
REGION V - BICOL,,,,,,,,
Total,  1.216.369 ,  1.134.906 ,  53.016 ,  25.638 ,  1.456 ,  171 ,  53 ,  1.129 
Own or owner like possession of house and lot,  598.165 ,  563.477 ,  24.069 ,  9.593 ,  635 ,  57 ,  10 ,  324 
Rent house/room including lot,  42.852 ,  28.902 ,  5.631 ,  7.866 ,  345 ,  44 ,  10 ,  54 
Own house rent lot,  44.975 ,  41.657 ,  2.309 ,  878 ,  59 ,  1 ,  5 ,  66 
Own house rent-free lot with consent of owner,  432.967 ,  414.097 ,  13.928 ,  4.168 ,  181 ,  22 ,  18 ,  553 
Own house rent-free lot without consent of owner,  23.423 ,  21.637 ,  1.248 ,  482 ,  12 ,  2 ,  2 ,  40 
Rent-free house and lot with consent of owner,  71.725 ,  63.136 ,  5.654 ,  2.576 ,  220 ,  45 ,  6 ,  88 
Rent-free house and lot without consent of owner,  2.262 ,  2.000 ,  177 ,  75 ,  4 ,  -   ,  2 ,  4 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ALBAY,,,,,,,,
Total,  277.091 ,  257.323 ,  13.393 ,  5.891 ,  288 ,  24 ,  4 ,  168 
Own or owner like possession of house and lot,  149.129 ,  139.879 ,  6.787 ,  2.232 ,  161 ,  12 ,  2 ,  56 
Rent house/room including lot,  9.599 ,  6.984 ,  1.191 ,  1.361 ,  55 ,  4 ,  -   ,  4 
Own house rent lot,  6.786 ,  6.338 ,  340 ,  90 ,  9 ,  1 ,  -   ,  8 
Own house rent-free lot with consent of owner,  90.279 ,  85.469 ,  3.274 ,  1.430 ,  30 ,  -   ,  2 ,  74 
Own house rent-free lot without consent of owner,  7.816 ,  6.989 ,  577 ,  233 ,  3 ,  -   ,  -   ,  14 
Rent-free house and lot with consent of owner,  12.808 ,  11.081 ,  1.164 ,  518 ,  29 ,  7 ,  -   ,  9 
Rent-free house and lot without consent of owner,  674 ,  583 ,  60 ,  27 ,  1 ,  -   ,  -   ,  3 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BACACAY,,,,,,,,
Total,  14.365 ,  13.801 ,  469 ,  74 ,  18 ,  -   ,  -   ,  3 
Own or owner like possession of house and lot,  8.805 ,  8.499 ,  259 ,  32 ,  14 ,  -   ,  -   ,  1 
Rent house/room including lot,  284 ,  243 ,  26 ,  13 ,  2 ,  -   ,  -   ,  -   
Own house rent lot,  175 ,  166 ,  6 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.804 ,  3.678 ,  105 ,  19 ,  1 ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  685 ,  639 ,  44 ,  1 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  582 ,  547 ,  28 ,  6 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  30 ,  29 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CAMALIG,,,,,,,,
Total,  14.787 ,  14.203 ,  469 ,  111 ,  -   ,  -   ,  2 ,  2 
Own or owner like possession of house and lot,  7.243 ,  6.974 ,  229 ,  39 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  321 ,  293 ,  13 ,  15 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  558 ,  549 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  5.881 ,  5.710 ,  153 ,  15 ,  -   ,  -   ,  2 ,  1 
Own house rent-free lot without consent of owner,  116 ,  112 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  661 ,  558 ,  61 ,  42 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DARAGA (LOCSIN),,,,,,,,
Total,  27.648 ,  24.331 ,  2.269 ,  1.023 ,  15 ,  3 ,  -   ,  7 
Own or owner like possession of house and lot,  17.276 ,  15.488 ,  1.315 ,  462 ,  10 ,  -   ,  -   ,  1 
Rent house/room including lot,  1.573 ,  1.010 ,  264 ,  294 ,  2 ,  1 ,  -   ,  2 
Own house rent lot,  726 ,  648 ,  65 ,  11 ,  -   ,  -   ,  -   ,  2 
