,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
8495,LABANGAN,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8496,LABANGAN,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8497,LABANGAN,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,18.0,6.0,1.0,6.0,2015
8498,LAPUYAN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),5123.0,5672.0,26671.0,4.7,1.11,5.21,2015
8499,LAPUYAN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),55.0,58.0,260.0,4.48,1.05,4.73,2015
8500,LAPUYAN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),6.0,6.0,17.0,2.83,1.0,2.83,2015
8501,LAPUYAN,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,1.0,1.0,1.0,1.0,2015
8502,LAPUYAN,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8503,LAPUYAN,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8504,LAPUYAN,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),30.0,56.0,218.0,3.89,1.87,7.27,2015
8505,MAHAYAG,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),9409.0,9457.0,45074.0,4.77,1.01,4.79,2015
8506,MAHAYAG,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),249.0,251.0,1121.0,4.47,1.01,4.5,2015
8507,MAHAYAG,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),55.0,56.0,167.0,2.98,1.02,3.04,2015
8508,MAHAYAG,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),4.0,4.0,18.0,4.5,1.0,4.5,2015
8509,MAHAYAG,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8510,MAHAYAG,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8511,MAHAYAG,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,1.0,1.0,1.0,1.0,2015
8512,MARGOSATUBIG,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),8232.0,8261.0,35672.0,4.32,1.0,4.33,2015
8513,MARGOSATUBIG,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),389.0,389.0,1537.0,3.95,1.0,3.95,2015
8514,MARGOSATUBIG,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),153.0,153.0,560.0,3.66,1.0,3.66,2015
8515,MARGOSATUBIG,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),4.0,4.0,17.0,4.25,1.0,4.25,2015
8516,MARGOSATUBIG,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,5.0,5.0,1.0,5.0,2015
8517,MARGOSATUBIG,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8518,MARGOSATUBIG,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),15.0,15.0,62.0,4.13,1.0,4.13,2015
8519,MIDSALIP,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),6634.0,6642.0,31470.0,4.74,1.0,4.74,2015
8520,MIDSALIP,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),98.0,98.0,389.0,3.97,1.0,3.97,2015
8521,MIDSALIP,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),30.0,30.0,134.0,4.47,1.0,4.47,2015
8522,MIDSALIP,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),2.0,2.0,8.0,4.0,1.0,4.0,2015
8523,MIDSALIP,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8524,MIDSALIP,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8525,MIDSALIP,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),10.0,10.0,37.0,3.7,1.0,3.7,2015
8526,MOLAVE,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),10392.0,10478.0,47766.0,4.56,1.01,4.6,2015
8527,MOLAVE,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),597.0,612.0,2331.0,3.81,1.03,3.9,2015
8528,MOLAVE,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),392.0,405.0,1545.0,3.81,1.03,3.94,2015
8529,MOLAVE,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),4.0,4.0,10.0,2.5,1.0,2.5,2015
8530,MOLAVE,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,6.0,6.0,1.0,6.0,2015
8531,MOLAVE,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,1.0,1.0,1.0,1.0,2015
8532,MOLAVE,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),14.0,14.0,60.0,4.29,1.0,4.29,2015
8533,PAGADIAN CITY (Capital),REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),36070.0,36256.0,175348.0,4.84,1.01,4.86,2015
8534,PAGADIAN CITY (Capital),REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),2639.0,2653.0,11786.0,4.44,1.01,4.47,2015
8535,PAGADIAN CITY (Capital),REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),1844.0,1850.0,7344.0,3.97,1.0,3.98,2015
8536,PAGADIAN CITY (Capital),REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),34.0,34.0,158.0,4.65,1.0,4.65,2015
8537,PAGADIAN CITY (Capital),REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),11.0,11.0,40.0,3.64,1.0,3.64,2015
8538,PAGADIAN CITY (Capital),REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),46.0,46.0,277.0,6.02,1.0,6.02,2015
8539,PAGADIAN CITY (Capital),REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),21.0,22.0,90.0,4.09,1.05,4.29,2015
8540,RAMON MAGSAYSAY (LIARGO),REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),5771.0,5959.0,25650.0,4.3,1.03,4.44,2015
8541,RAMON MAGSAYSAY (LIARGO),REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),154.0,154.0,599.0,3.89,1.0,3.89,2015
8542,RAMON MAGSAYSAY (LIARGO),REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),30.0,30.0,125.0,4.17,1.0,4.17,2015
8543,RAMON MAGSAYSAY (LIARGO),REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),7.0,7.0,28.0,4.0,1.0,4.0,2015
8544,RAMON MAGSAYSAY (LIARGO),REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8545,RAMON MAGSAYSAY (LIARGO),REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8546,RAMON MAGSAYSAY (LIARGO),REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),6.0,8.0,35.0,4.38,1.33,5.83,2015
8547,SAN MIGUEL,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),4102.0,4127.0,18764.0,4.55,1.01,4.57,2015
8548,SAN MIGUEL,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),82.0,83.0,344.0,4.14,1.01,4.2,2015
8549,SAN MIGUEL,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),15.0,18.0,68.0,3.78,1.2,4.53,2015
8550,SAN MIGUEL,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),4.0,4.0,19.0,4.75,1.0,4.75,2015
8551,SAN MIGUEL,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8552,SAN MIGUEL,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8553,SAN MIGUEL,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),2.0,2.0,5.0,2.5,1.0,2.5,2015
8554,SAN PABLO,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),5690.0,5709.0,25654.0,4.49,1.0,4.51,2015
8555,SAN PABLO,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),83.0,84.0,374.0,4.45,1.01,4.51,2015
8556,SAN PABLO,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),6.0,6.0,18.0,3.0,1.0,3.0,2015
8557,SAN PABLO,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),6.0,6.0,30.0,5.0,1.0,5.0,2015
8558,SAN PABLO,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,7.0,2.33,1.0,2.33,2015
8559,SAN PABLO,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8560,SAN PABLO,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),4.0,4.0,22.0,5.5,1.0,5.5,2015
8561,TABINA,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),5477.0,5491.0,24519.0,4.47,1.0,4.48,2015
8562,TABINA,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),110.0,110.0,446.0,4.05,1.0,4.05,2015
8563,TABINA,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),19.0,19.0,74.0,3.89,1.0,3.89,2015
8564,TABINA,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,9.0,3.0,1.0,3.0,2015
8565,TABINA,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8566,TABINA,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8567,TABINA,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),4.0,4.0,13.0,3.25,1.0,3.25,2015
8568,TAMBULIG,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),7493.0,7524.0,35248.0,4.68,1.0,4.7,2015
8569,TAMBULIG,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),151.0,151.0,703.0,4.66,1.0,4.66,2015
8570,TAMBULIG,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),31.0,31.0,120.0,3.87,1.0,3.87,2015
8571,TAMBULIG,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,10.0,3.33,1.0,3.33,2015
8572,TAMBULIG,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,8.0,8.0,1.0,8.0,2015
8573,TAMBULIG,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8574,TAMBULIG,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),7.0,7.0,37.0,5.29,1.0,5.29,2015
8575,TUKURAN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),8198.0,8228.0,38625.0,4.69,1.0,4.71,2015
8576,TUKURAN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),193.0,194.0,879.0,4.53,1.01,4.55,2015
8577,TUKURAN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),64.0,64.0,264.0,4.13,1.0,4.13,2015
8578,TUKURAN,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,9.0,3.0,1.0,3.0,2015
8579,TUKURAN,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8580,TUKURAN,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8581,TUKURAN,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),7.0,9.0,43.0,4.78,1.29,6.14,2015
8582,LAKEWOOD,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),3798.0,3802.0,19098.0,5.02,1.0,5.03,2015
8583,LAKEWOOD,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),239.0,240.0,1055.0,4.4,1.0,4.41,2015
8584,LAKEWOOD,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),43.0,43.0,154.0,3.58,1.0,3.58,2015
8585,LAKEWOOD,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),13.0,13.0,52.0,4.0,1.0,4.0,2015
8586,LAKEWOOD,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8587,LAKEWOOD,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8588,LAKEWOOD,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,4.0,4.0,1.0,4.0,2015
8589,JOSEFINA,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),2445.0,2499.0,11408.0,4.57,1.02,4.67,2015
8590,JOSEFINA,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),43.0,46.0,189.0,4.11,1.07,4.4,2015
8591,JOSEFINA,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),10.0,10.0,25.0,2.5,1.0,2.5,2015
8592,JOSEFINA,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,4.0,4.0,1.0,4.0,2015
8593,JOSEFINA,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8594,JOSEFINA,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8595,JOSEFINA,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8596,PITOGO,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),5667.0,5693.0,26235.0,4.61,1.0,4.63,2015
8597,PITOGO,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),133.0,133.0,574.0,4.32,1.0,4.32,2015
8598,PITOGO,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),36.0,38.0,168.0,4.42,1.06,4.67,2015
8599,PITOGO,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),16.0,16.0,74.0,4.63,1.0,4.63,2015
8600,PITOGO,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8601,PITOGO,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8602,PITOGO,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,3.0,3.0,1.0,3.0,2015
8603,SOMINOT (DON MARIANO MARCOS),REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),4083.0,4088.0,18294.0,4.48,1.0,4.48,2015
8604,SOMINOT (DON MARIANO MARCOS),REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),46.0,46.0,192.0,4.17,1.0,4.17,2015
8605,SOMINOT (DON MARIANO MARCOS),REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),10.0,10.0,32.0,3.2,1.0,3.2,2015
8606,SOMINOT (DON MARIANO MARCOS),REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8607,SOMINOT (DON MARIANO MARCOS),REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8608,SOMINOT (DON MARIANO MARCOS),REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8609,SOMINOT (DON MARIANO MARCOS),REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),5.0,5.0,19.0,3.8,1.0,3.8,2015
8610,VINCENZO A. SAGUN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),4865.0,5028.0,23600.0,4.69,1.03,4.85,2015
8611,VINCENZO A. SAGUN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),26.0,26.0,116.0,4.46,1.0,4.46,2015
8612,VINCENZO A. SAGUN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,15.0,5.0,1.0,5.0,2015
8613,VINCENZO A. SAGUN,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),2.0,2.0,5.0,2.5,1.0,2.5,2015
8614,VINCENZO A. SAGUN,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8615,VINCENZO A. SAGUN,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8616,VINCENZO A. SAGUN,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),2.0,2.0,13.0,6.5,1.0,6.5,2015
8617,GUIPOS,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),4193.0,4198.0,20135.0,4.8,1.0,4.8,2015
8618,GUIPOS,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),97.0,97.0,463.0,4.77,1.0,4.77,2015
8619,GUIPOS,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),8.0,8.0,40.0,5.0,1.0,5.0,2015
8620,GUIPOS,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,16.0,5.33,1.0,5.33,2015
8621,GUIPOS,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8622,GUIPOS,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8623,GUIPOS,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,8.0,8.0,1.0,8.0,2015
8624,TIGBAO,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),4462.0,4472.0,20414.0,4.56,1.0,4.58,2015
8625,TIGBAO,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),89.0,89.0,374.0,4.2,1.0,4.2,2015
8626,TIGBAO,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),23.0,23.0,87.0,3.78,1.0,3.78,2015
8627,TIGBAO,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),14.0,14.0,65.0,4.64,1.0,4.64,2015
8628,TIGBAO,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8629,TIGBAO,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8630,TIGBAO,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,9.0,3.0,1.0,3.0,2015
8631,ZAMBOANGA CITY,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),151315.0,155680.0,699640.0,4.49,1.03,4.62,2015
8632,ZAMBOANGA CITY,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),17182.0,17527.0,72517.0,4.14,1.02,4.22,2015
8633,ZAMBOANGA CITY,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),15258.0,15454.0,57296.0,3.71,1.01,3.76,2015
8634,ZAMBOANGA CITY,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),351.0,359.0,1395.0,3.89,1.02,3.97,2015
8635,ZAMBOANGA CITY,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),67.0,71.0,290.0,4.08,1.06,4.33,2015
8636,ZAMBOANGA CITY,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),25.0,25.0,105.0,4.2,1.0,4.2,2015
8637,ZAMBOANGA CITY,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),1423.0,1452.0,5886.0,4.05,1.02,4.14,2015
8638,ALICIA,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA SIBUGAY,7400.0,7528.0,34890.0,4.63,1.02,4.71,2015
8639,ALICIA,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA SIBUGAY,186.0,191.0,894.0,4.68,1.03,4.81,2015
8640,ALICIA,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA SIBUGAY,26.0,26.0,116.0,4.46,1.0,4.46,2015
8641,ALICIA,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA SIBUGAY,7.0,8.0,36.0,4.5,1.14,5.14,2015
8642,ALICIA,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA SIBUGAY,,,,,,,2015
8643,ALICIA,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA SIBUGAY,,,,,,,2015
8644,ALICIA,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA SIBUGAY,11.0,13.0,62.0,4.77,1.18,5.64,2015
8645,BUUG,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA SIBUGAY,7610.0,7829.0,34549.0,4.41,1.03,4.54,2015
8646,BUUG,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA SIBUGAY,400.0,404.0,1661.0,4.11,1.01,4.15,2015
8647,BUUG,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA SIBUGAY,74.0,77.0,254.0,3.3,1.04,3.43,2015
8648,BUUG,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA SIBUGAY,20.0,20.0,66.0,3.3,1.0,3.3,2015
8649,BUUG,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA SIBUGAY,,,,,,,2015
8650,BUUG,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA SIBUGAY,,,,,,,2015
8651,BUUG,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA SIBUGAY,12.0,14.0,74.0,5.29,1.17,6.17,2015
8652,DIPLAHAN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA SIBUGAY,6971.0,7027.0,29973.0,4.27,1.01,4.3,2015
8653,DIPLAHAN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA SIBUGAY,508.0,508.0,1986.0,3.91,1.0,3.91,2015
8654,DIPLAHAN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA SIBUGAY,105.0,105.0,338.0,3.22,1.0,3.22,2015
