Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,
Duplex,  346 ,  351 ,  1.491 ,"  4,25 ","  1,01 ","  4,31 ",,,,,,,,,,,,
Multi-unit residential,  325 ,  326 ,  1.243 ,"  3,81 ","  1,00 ","  3,82 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  21 ,  21 ,  76 ,"  3,62 ","  1,00 ","  3,62 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
 MALVAR,,,,,,,,,,,,,,,,,,
Total,  12.833 ,  13.761 ,  56.270 ,"  4,09 ","  1,07 ","  4,38 ",,,,,,,,,,,,
Single house,  10.316 ,  10.917 ,  47.603 ,"  4,36 ","  1,06 ","  4,61 ",,,,,,,,,,,,
Duplex,  996 ,  1.098 ,  3.985 ,"  3,63 ","  1,10 ","  4,00 ",,,,,,,,,,,,
Multi-unit residential,  1.491 ,  1.716 ,  4.577 ,"  2,67 ","  1,15 ","  3,07 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  15 ,  15 ,  42 ,"  2,80 ","  1,00 ","  2,80 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  15 ,  15 ,  63 ,"  4,20 ","  1,00 ","  4,20 ",,,,,,,,,,,,
 MATAASNAKAHOY,,,,,,,,,,,,,,,,,,
Total,  6.415 ,  6.901 ,  29.162 ,"  4,23 ","  1,08 ","  4,55 ",,,,,,,,,,,,
Single house,  5.567 ,  6.026 ,  25.553 ,"  4,24 ","  1,08 ","  4,59 ",,,,,,,,,,,,
Duplex,  418 ,  441 ,  1.844 ,"  4,18 ","  1,06 ","  4,41 ",,,,,,,,,,,,
Multi-unit residential,  429 ,  433 ,  1.763 ,"  4,07 ","  1,01 ","  4,11 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 NASUGBU,,,,,,,,,,,,,,,,,,
Total,  30.482 ,  30.751 ,  133.817 ,"  4,35 ","  1,01 ","  4,39 ",,,,,,,,,,,,
Single house,  27.397 ,  27.624 ,  121.233 ,"  4,39 ","  1,01 ","  4,43 ",,,,,,,,,,,,
Duplex,  1.960 ,  1.985 ,  8.155 ,"  4,11 ","  1,01 ","  4,16 ",,,,,,,,,,,,
Multi-unit residential,  1.088 ,  1.102 ,  4.275 ,"  3,88 ","  1,01 ","  3,93 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  27 ,  30 ,  100 ,"  3,33 ","  1,11 ","  3,70 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  5 ,  5 ,  36 ,"  7,20 ","  1,00 ","  7,20 ",,,,,,,,,,,,
Not Reported,  5 ,  5 ,  18 ,"  3,60 ","  1,00 ","  3,60 ",,,,,,,,,,,,
 PADRE GARCIA,,,,,,,,,,,,,,,,,,
Total,  10.782 ,  11.109 ,  48.297 ,"  4,35 ","  1,03 ","  4,48 ",,,,,,,,,,,,
Single house,  10.104 ,  10.426 ,  45.567 ,"  4,37 ","  1,03 ","  4,51 ",,,,,,,,,,,,
Duplex,  404 ,  408 ,  1.641 ,"  4,02 ","  1,01 ","  4,06 ",,,,,,,,,,,,
Multi-unit residential,  270 ,  271 ,  1.072 ,"  3,96 ","  1,00 ","  3,97 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  16 ,"  5,33 ","  1,00 ","  5,33 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
 ROSARIO,,,,,,,,,,,,,,,,,,
Total,  25.971 ,  26.906 ,  116.647 ,"  4,34 ","  1,04 ","  4,49 ",,,,,,,,,,,,
Single house,  23.723 ,  24.638 ,  107.935 ,"  4,38 ","  1,04 ","  4,55 ",,,,,,,,,,,,
Duplex,  1.180 ,  1.197 ,  4.708 ,"  3,93 ","  1,01 ","  3,99 ",,,,,,,,,,,,
Multi-unit residential,  1.019 ,  1.021 ,  3.834 ,"  3,76 ","  1,00 ","  3,76 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  46 ,  46 ,  154 ,"  3,35 ","  1,00 ","  3,35 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Not Reported,  2 ,  3 ,  11 ,"  3,67 ","  1,50 ","  5,50 ",,,,,,,,,,,,
 SAN JOSE,,,,,,,,,,,,,,,,,,
Total,  17.972 ,  18.458 ,  76.971 ,"  4,17 ","  1,03 ","  4,28 ",,,,,,,,,,,,
Single house,  16.300 ,  16.768 ,  70.673 ,"  4,21 ","  1,03 ","  4,34 ",,,,,,,,,,,,
Duplex,  900 ,  911 ,  3.538 ,"  3,88 ","  1,01 ","  3,93 ",,,,,,,,,,,,
Multi-unit residential,  761 ,  768 ,  2.717 ,"  3,54 ","  1,01 ","  3,57 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  8 ,  34 ,"  4,25 ","  1,00 ","  4,25 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  3 ,  9 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 SAN JUAN,,,,,,,,,,,,,,,,,,
Total,  23.713 ,  23.911 ,  108.379 ,"  4,53 ","  1,01 ","  4,57 ",,,,,,,,,,,,
Single house,  22.795 ,  22.989 ,  104.353 ,"  4,54 ","  1,01 ","  4,58 ",,,,,,,,,,,,
Duplex,  512 ,  516 ,  2.268 ,"  4,40 ","  1,01 ","  4,43 ",,,,,,,,,,,,
Multi-unit residential,  394 ,  394 ,  1.708 ,"  4,34 ","  1,00 ","  4,34 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  7 ,  32 ,"  4,57 ","  1,00 ","  4,57 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  3 ,  3 ,  11 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
Not Reported,  2 ,  2 ,  7 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
 SAN LUIS,,,,,,,,,,,,,,,,,,
Total,  7.218 ,  7.368 ,  33.126 ,"  4,50 ","  1,02 ","  4,59 ",,,,,,,,,,,,
Single house,  6.707 ,  6.852 ,  31.021 ,"  4,53 ","  1,02 ","  4,63 ",,,,,,,,,,,,
Duplex,  376 ,  381 ,  1.566 ,"  4,11 ","  1,01 ","  4,16 ",,,,,,,,,,,,
Multi-unit residential,  129 ,  129 ,  514 ,"  3,98 ","  1,00 ","  3,98 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  17 ,"  4,25 ","  1,00 ","  4,25 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  8 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
 SAN NICOLAS,,,,,,,,,,,,,,,,,,
Total,  4.473 ,  4.485 ,  22.611 ,"  5,04 ","  1,00 ","  5,05 ",,,,,,,,,,,,
Single house,  4.449 ,  4.461 ,  22.480 ,"  5,04 ","  1,00 ","  5,05 ",,,,,,,,,,,,
Duplex,  24 ,  24 ,  131 ,"  5,46 ","  1,00 ","  5,46 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 SAN PASCUAL,,,,,,,,,,,,,,,,,,
Total,  14.589 ,  15.212 ,  65.339 ,"  4,30 ","  1,04 ","  4,48 ",,,,,,,,,,,,
Single house,  13.010 ,  13.598 ,  58.741 ,"  4,32 ","  1,05 ","  4,52 ",,,,,,,,,,,,
Duplex,  746 ,  765 ,  3.103 ,"  4,06 ","  1,03 ","  4,16 ",,,,,,,,,,,,
Multi-unit residential,  824 ,  840 ,  3.458 ,"  4,12 ","  1,02 ","  4,20 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  7 ,  21 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  16 ,"  8,00 ","  1,00 ","  8,00 ",,,,,,,,,,,,
 SANTA TERESITA,,,,,,,,,,,,,,,,,,
Total,  4.218 ,  4.309 ,  21.108 ,"  4,90 ","  1,02 ","  5,00 ",,,,,,,,,,,,
Single house,  3.707 ,  3.795 ,  18.903 ,"  4,98 ","  1,02 ","  5,10 ",,,,,,,,,,,,
Duplex,  336 ,  339 ,  1.497 ,"  4,42 ","  1,01 ","  4,46 ",,,,,,,,,,,,
Multi-unit residential,  174 ,  174 ,  707 ,"  4,06 ","  1,00 ","  4,06 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 SANTO TOMAS,,,,,,,,,,,,,,,,,,
Total,  42.118 ,  42.629 ,  179.551 ,"  4,21 ","  1,01 ","  4,26 ",,,,,,,,,,,,
Single house,  32.291 ,  32.692 ,  141.654 ,"  4,33 ","  1,01 ","  4,39 ",,,,,,,,,,,,
Duplex,  2.830 ,  2.870 ,  11.559 ,"  4,03 ","  1,01 ","  4,08 ",,,,,,,,,,,,
Multi-unit residential,  6.974 ,  7.044 ,  26.224 ,"  3,72 ","  1,01 ","  3,76 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  18 ,  18 ,  84 ,"  4,67 ","  1,00 ","  4,67 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  5 ,  30 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
 TAAL,,,,,,,,,,,,,,,,,,
Total,  11.900 ,  12.293 ,  56.168 ,"  4,57 ","  1,03 ","  4,72 ",,,,,,,,,,,,
Single house,  11.238 ,  11.616 ,  53.182 ,"  4,58 ","  1,03 ","  4,73 ",,,,,,,,,,,,
Duplex,  350 ,  358 ,  1.601 ,"  4,47 ","  1,02 ","  4,57 ",,,,,,,,,,,,
Multi-unit residential,  302 ,  306 ,  1.328 ,"  4,34 ","  1,01 ","  4,40 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  7 ,  36 ,"  5,14 ","  1,00 ","  5,14 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  6 ,  21 ,"  3,50 ","  2,00 ","  7,00 ",,,,,,,,,,,,
 TALISAY,,,,,,,,,,,,,,,,,,
Total,  9.685 ,  9.825 ,  45.194 ,"  4,60 ","  1,01 ","  4,67 ",,,,,,,,,,,,
Single house,  8.604 ,  8.731 ,  40.590 ,"  4,65 ","  1,01 ","  4,72 ",,,,,,,,,,,,
Duplex,  628 ,  637 ,  2.682 ,"  4,21 ","  1,01 ","  4,27 ",,,,,,,,,,,,
Multi-unit residential,  444 ,  448 ,  1.895 ,"  4,23 ","  1,01 ","  4,27 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  7 ,  18 ,"  2,57 ","  1,00 ","  2,57 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  9 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
 CITY OF TANAUAN,,,,,,,,,,,,,,,,,,
Total,  37.426 ,  38.239 ,  172.990 ,"  4,52 ","  1,02 ","  4,62 ",,,,,,,,,,,,
Single house,  33.436 ,  34.136 ,  157.000 ,"  4,60 ","  1,02 ","  4,70 ",,,,,,,,,,,,
Duplex,  1.782 ,  1.816 ,  7.740 ,"  4,26 ","  1,02 ","  4,34 ",,,,,,,,,,,,
Multi-unit residential,  2.152 ,  2.224 ,  8.024 ,"  3,61 ","  1,03 ","  3,73 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  37 ,  44 ,  114 ,"  2,59 ","  1,19 ","  3,08 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  10 ,"  3,33 ","  1,00 ","  3,33 ",,,,,,,,,,,,
Others,  7 ,  7 ,  32 ,"  4,57 ","  1,00 ","  4,57 ",,,,,,,,,,,,
Not Reported,  9 ,  9 ,  70 ,"  7,78 ","  1,00 ","  7,78 ",,,,,,,,,,,,
 TAYSAN,,,,,,,,,,,,,,,,,,
Total,  8.479 ,  8.512 ,  37.955 ,"  4,46 ","  1,00 ","  4,48 ",,,,,,,,,,,,
Single house,  8.266 ,  8.299 ,  37.099 ,"  4,47 ","  1,00 ","  4,49 ",,,,,,,,,,,,
Duplex,  162 ,  162 ,  680 ,"  4,20 ","  1,00 ","  4,20 ",,,,,,,,,,,,
Multi-unit residential,  44 ,  44 ,  147 ,"  3,34 ","  1,00 ","  3,34 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  7 ,"  2,33 ","  1,00 ","  2,33 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  2 ,  2 ,  14 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Not Reported,  2 ,  2 ,  8 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
 TINGLOY,,,,,,,,,,,,,,,,,,
Total,  4.054 ,  4.315 ,  17.863 ,"  4,14 ","  1,06 ","  4,41 ",,,,,,,,,,,,
Single house,  3.795 ,  4.049 ,  16.880 ,"  4,17 ","  1,07 ","  4,45 ",,,,,,,,,,,,
Duplex,  202 ,  203 ,  779 ,"  3,84 ","  1,00 ","  3,86 ",,,,,,,,,,,,
Multi-unit residential,  43 ,  44 ,  154 ,"  3,50 ","  1,02 ","  3,58 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  8 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  12 ,  17 ,  42 ,"  2,47 ","  1,42 ","  3,50 ",,,,,,,,,,,,
 TUY,,,,,,,,,,,,,,,,,,
Total,  10.034 ,  10.073 ,  43.679 ,"  4,34 ","  1,00 ","  4,35 ",,,,,,,,,,,,
Single house,  9.555 ,  9.592 ,  41.692 ,"  4,35 ","  1,00 ","  4,36 ",,,,,,,,,,,,
Duplex,  406 ,  408 ,  1.705 ,"  4,18 ","  1,00 ","  4,20 ",,,,,,,,,,,,
Multi-unit residential,  63 ,  63 ,  228 ,"  3,62 ","  1,00 ","  3,62 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  26 ,"  5,20 ","  1,00 ","  5,20 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  2 ,  2 ,  12 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Not Reported,  3 ,  3 ,  16 ,"  5,33 ","  1,00 ","  5,33 ",,,,,,,,,,,,
 CAVITE,,,,,,,,,,,,,,,,,,
Total,  851.871 ,  877.743 ,  3.662.736 ,"  4,17 ","  1,03 ","  4,30 ",,,,,,,,,,,,
Single house,  540.302 ,  555.940 ,  2.388.515 ,"  4,30 ","  1,03 ","  4,42 ",,,,,,,,,,,,
Duplex,  93.062 ,  97.103 ,  393.867 ,"  4,06 ","  1,04 ","  4,23 ",,,,,,,,,,,,
Multi-unit residential,  216.733 ,  222.811 ,  873.547 ,"  3,92 ","  1,03 ","  4,03 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1.421 ,  1.482 ,  5.415 ,"  3,65 ","  1,04 ","  3,81 ",,,,,,,,,,,,
Institutional living quarter,  92 ,  105 ,  353 ,"  3,36 ","  1,14 ","  3,84 ",,,,,,,,,,,,
Others,  61 ,  61 ,  216 ,"  3,54 ","  1,00 ","  3,54 ",,,,,,,,,,,,
Not Reported,  200 ,  241 ,  823 ,"  3,41 ","  1,21 ","  4,12 ",,,,,,,,,,,,
 ALFONSO,,,,,,,,,,,,,,,,,,
Total,  11.762 ,  11.820 ,  51.756 ,"  4,38 ","  1,00 ","  4,40 ",,,,,,,,,,,,
Single house,  10.325 ,  10.376 ,  45.655 ,"  4,40 ","  1,00 ","  4,42 ",,,,,,,,,,,,
Duplex,  868 ,  870 ,  3.720 ,"  4,28 ","  1,00 ","  4,29 ",,,,,,,,,,,,
Multi-unit residential,  534 ,  539 ,  2.255 ,"  4,18 ","  1,01 ","  4,22 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  33 ,  33 ,  121 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 AMADEO,,,,,,,,,,,,,,,,,,
Total,  8.761 ,  8.811 ,  37.296 ,"  4,23 ","  1,01 ","  4,26 ",,,,,,,,,,,,
Single house,  7.652 ,  7.695 ,  32.906 ,"  4,28 ","  1,01 ","  4,30 ",,,,,,,,,,,,
Duplex,  708 ,  712 ,  2.828 ,"  3,97 ","  1,01 ","  3,99 ",,,,,,,,,,,,
Multi-unit residential,  374 ,  377 ,  1.442 ,"  3,82 ","  1,01 ","  3,86 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  25 ,  25 ,  107 ,"  4,28 ","  1,00 ","  4,28 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  10 ,"  10,00 ","  1,00 ","  10,00 ",,,,,,,,,,,,
 BACOOR CITY,,,,,,,,,,,,,,,,,,
Total,  144.707 ,  149.160 ,  599.326 ,"  4,02 ","  1,03 ","  4,14 ",,,,,,,,,,,,
Single house,  105.209 ,  108.690 ,  445.164 ,"  4,10 ","  1,03 ","  4,23 ",,,,,,,,,,,,
Duplex,  13.681 ,  14.160 ,  56.439 ,"  3,99 ","  1,04 ","  4,13 ",,,,,,,,,,,,
Multi-unit residential,  25.569 ,  26.049 ,  96.822 ,"  3,72 ","  1,02 ","  3,79 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  193 ,  193 ,  678 ,"  3,51 ","  1,00 ","  3,51 ",,,,,,,,,,,,
Institutional living quarter,  16 ,  16 ,  57 ,"  3,56 ","  1,00 ","  3,56 ",,,,,,,,,,,,
Others,  12 ,  12 ,  38 ,"  3,17 ","  1,00 ","  3,17 ",,,,,,,,,,,,
Not Reported,  27 ,  40 ,  128 ,"  3,20 ","  1,48 ","  4,74 ",,,,,,,,,,,,
 CARMONA,,,,,,,,,,,,,,,,,,
Total,  23.448 ,  24.427 ,  97.360 ,"  3,99 ","  1,04 ","  4,15 ",,,,,,,,,,,,
Single house,  10.308 ,  10.624 ,  46.454 ,"  4,37 ","  1,03 ","  4,51 ",,,,,,,,,,,,
Duplex,  3.795 ,  3.982 ,  15.474 ,"  3,89 ","  1,05 ","  4,08 ",,,,,,,,,,,,
Multi-unit residential,  9.293 ,  9.767 ,  35.236 ,"  3,61 ","  1,05 ","  3,79 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  46 ,  48 ,  174 ,"  3,63 ","  1,04 ","  3,78 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  22 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
 CAVITE CITY,,,,,,,,,,,,,,,,,,
Total,  23.828 ,  25.997 ,  102.508 ,"  3,94 ","  1,09 ","  4,30 ",,,,,,,,,,,,
Single house,  16.553 ,  18.403 ,  72.922 ,"  3,96 ","  1,11 ","  4,41 ",,,,,,,,,,,,
Duplex,  3.270 ,  3.455 ,  13.254 ,"  3,84 ","  1,06 ","  4,05 ",,,,,,,,,,,,
Multi-unit residential,  3.947 ,  4.072 ,  16.095 ,"  3,95 ","  1,03 ","  4,08 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  51 ,  54 ,  191 ,"  3,54 ","  1,06 ","  3,75 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  8 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Others,  3 ,  3 ,  9 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Not Reported,  2 ,  8 ,  29 ,"  3,63 ","  4,00 ","  14,50 ",,,,,,,,,,,,
 CITY OF DASMARIÑAS,,,,,,,,,,,,,,,,,,
Total,  145.166 ,  147.799 ,  657.529 ,"  4,45 ","  1,02 ","  4,53 ",,,,,,,,,,,,
Single house,  91.788 ,  93.659 ,  428.601 ,"  4,58 ","  1,02 ","  4,67 ",,,,,,,,,,,,
Duplex,  16.720 ,  17.042 ,  75.209 ,"  4,41 ","  1,02 ","  4,50 ",,,,,,,,,,,,
Multi-unit residential,  36.218 ,  36.637 ,  151.919 ,"  4,15 ","  1,01 ","  4,19 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  386 ,  398 ,  1.572 ,"  3,95 ","  1,03 ","  4,07 ",,,,,,,,,,,,
Institutional living quarter,  30 ,  31 ,  95 ,"  3,06 ","  1,03 ","  3,17 ",,,,,,,,,,,,
Others,  14 ,  14 ,  73 ,"  5,21 ","  1,00 ","  5,21 ",,,,,,,,,,,,
Not Reported,  10 ,  18 ,  60 ,"  3,33 ","  1,80 ","  6,00 ",,,,,,,,,,,,
 GENERAL EMILIO AGUINALDO,,,,,,,,,,,,,,,,,,
Total,  4.365 ,  4.414 ,  22.186 ,"  5,03 ","  1,01 ","  5,08 ",,,,,,,,,,,,
Single house,  4.094 ,  4.139 ,  20.963 ,"  5,06 ","  1,01 ","  5,12 ",,,,,,,,,,,,
Duplex,  176 ,  179 ,  811 ,"  4,53 ","  1,02 ","  4,61 ",,,,,,,,,,,,
Multi-unit residential,  91 ,  92 ,  395 ,"  4,29 ","  1,01 ","  4,34 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  17 ,"  4,25 ","  1,00 ","  4,25 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 CITY OF GENERAL TRIAS,,,,,,,,,,,,,,,,,,
Total,  76.687 ,  80.142 ,  313.604 ,"  3,91 ","  1,05 ","  4,09 ",,,,,,,,,,,,
Single house,  30.328 ,  31.386 ,  127.970 ,"  4,08 ","  1,03 ","  4,22 ",,,,,,,,,,,,
Duplex,  8.696 ,  9.309 ,  35.177 ,"  3,78 ","  1,07 ","  4,05 ",,,,,,,,,,,,
Multi-unit residential,  37.546 ,  39.311 ,  150.012 ,"  3,82 ","  1,05 ","  4,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  88 ,  94 ,  313 ,"  3,33 ","  1,07 ","  3,56 ",,,,,,,,,,,,
Institutional living quarter,  13 ,  25 ,  74 ,"  2,96 ","  1,92 ","  5,69 ",,,,,,,,,,,,
Others,  3 ,  3 ,  11 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
Not Reported,  13 ,  14 ,  47 ,"  3,36 ","  1,08 ","  3,62 ",,,,,,,,,,,,
 IMUS CITY,,,,,,,,,,,,,,,,,,
Total,  95.234 ,  97.373 ,  402.645 ,"  4,14 ","  1,02 ","  4,23 ",,,,,,,,,,,,
Single house,  58.722 ,  60.075 ,  252.985 ,"  4,21 ","  1,02 ","  4,31 ",,,,,,,,,,,,
Duplex,  7.258 ,  7.526 ,  30.072 ,"  4,00 ","  1,04 ","  4,14 ",,,,,,,,,,,,
Multi-unit residential,  29.049 ,  29.560 ,  118.869 ,"  4,02 ","  1,02 ","  4,09 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  120 ,  126 ,  479 ,"  3,80 ","  1,05 ","  3,99 ",,,,,,,,,,,,
Institutional living quarter,  7 ,  7 ,  30 ,"  4,29 ","  1,00 ","  4,29 ",,,,,,,,,,,,
Others,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Not Reported,  77 ,  78 ,  207 ,"  2,65 ","  1,01 ","  2,69 ",,,,,,,,,,,,
 INDANG,,,,,,,,,,,,,,,,,,
Total,  14.797 ,  15.016 ,  65.419 ,"  4,36 ","  1,01 ","  4,42 ",,,,,,,,,,,,
Single house,  12.697 ,  12.890 ,  56.955 ,"  4,42 ","  1,02 ","  4,49 ",,,,,,,,,,,,
Duplex,  1.258 ,  1.274 ,  5.184 ,"  4,07 ","  1,01 ","  4,12 ",,,,,,,,,,,,
Multi-unit residential,  816 ,  826 ,  3.181 ,"  3,85 ","  1,01 ","  3,90 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  17 ,  17 ,  57 ,"  3,35 ","  1,00 ","  3,35 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  6 ,  6 ,  24 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
