City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
KALAMANSIG,  10.957 ,  1.013 ,  3.330 ,  192 ,  1.551 ,  841 ,  271 ,  1.514 ,  1.639 ,  448 ,  3 ,  33 ,  122 ,  -   ,,,,,,,,,,,,,,
LEBAK,  20.388 ,  930 ,  2.977 ,  992 ,  4.554 ,  1.229 ,  2.668 ,  3.899 ,  1.828 ,  142 ,  9 ,  1.159 ,  1 ,  -   ,,,,,,,,,,,,,,
LUTAYAN,  13.092 ,  216 ,  1.902 ,  2.562 ,  6.502 ,  716 ,  488 ,  203 ,  18 ,  10 ,  3 ,  457 ,  15 ,  -   ,,,,,,,,,,,,,,
LAMBAYONG (MARIANO MARCOS),  17.815 ,  253 ,  443 ,  2.039 ,  7.939 ,  3.733 ,  7 ,  1.485 ,  9 ,  1 ,  47 ,  1.817 ,  42 ,  -   ,,,,,,,,,,,,,,
PALIMBANG,  19.121 ,  254 ,  1.916 ,  2.087 ,  4.928 ,  2.298 ,  2.108 ,  2.064 ,  1.389 ,  2.046 ,  13 ,  6 ,  12 ,  -   ,,,,,,,,,,,,,,
PRESIDENT QUIRINO,  9.966 ,  358 ,  224 ,  1.910 ,  3.543 ,  1.939 ,  67 ,  521 ,  2 ,  -   ,  2 ,  1.394 ,  6 ,  -   ,,,,,,,,,,,,,,
CITY OF TACURONG,  21.814 ,  3.129 ,  946 ,  3.718 ,  3.550 ,  1.192 ,  239 ,  106 ,  1 ,  1 ,  8 ,  8.915 ,  9 ,  -   ,,,,,,,,,,,,,,
SEN. NINOY AQUINO,  11.723 ,  398 ,  2.382 ,  684 ,  871 ,  796 ,  2.430 ,  2.091 ,  1.928 ,  25 ,  4 ,  113 ,  1 ,  -   ,,,,,,,,,,,,,,
GENERAL SANTOS CITY (DADIANGAS),  144.332 ,  58.749 ,  30.010 ,  7.916 ,  16.100 ,  1.758 ,  871 ,  1.758 ,  558 ,  463 ,  3.639 ,  22.134 ,  376 ,  -   ,,,,,,,,,,,,,,
SARANGANI,  124.313 ,  13.407 ,  29.938 ,  9.839 ,  27.888 ,  3.285 ,  9.326 ,  13.114 ,  7.138 ,  2.585 ,  154 ,  7.057 ,  582 ,  -   ,,,,,,,,,,,,,,
ALABEL (Capital),  17.929 ,  4.074 ,  3.985 ,  1.699 ,  3.247 ,  641 ,  638 ,  2.186 ,  384 ,  383 ,  3 ,  689 ,  -   ,  -   ,,,,,,,,,,,,,,
GLAN,  28.366 ,  1.958 ,  4.891 ,  2.641 ,  5.752 ,  1.275 ,  2.694 ,  3.877 ,  2.728 ,  241 ,  20 ,  2.289 ,  -   ,  -   ,,,,,,,,,,,,,,
KIAMBA,  13.588 ,  474 ,  3.803 ,  1.544 ,  4.453 ,  551 ,  366 ,  1.264 ,  522 ,  392 ,  39 ,  180 ,  -   ,  -   ,,,,,,,,,,,,,,
MAASIM,  13.260 ,  808 ,  2.847 ,  1.227 ,  3.257 ,  155 ,  178 ,  1.138 ,  57 ,  186 ,  13 ,  2.816 ,  578 ,  -   ,,,,,,,,,,,,,,
MAITUM,  10.631 ,  718 ,  3.048 ,  877 ,  3.703 ,  314 ,  522 ,  356 ,  608 ,  122 ,  8 ,  355 ,  -   ,  -   ,,,,,,,,,,,,,,
MALAPATAN,  15.958 ,  1.348 ,  4.197 ,  965 ,  4.361 ,  123 ,  567 ,  1.807 ,  936 ,  1.136 ,  46 ,  468 ,  4 ,  -   ,,,,,,,,,,,,,,
MALUNGON,  24.581 ,  4.027 ,  7.167 ,  886 ,  3.115 ,  226 ,  4.361 ,  2.486 ,  1.903 ,  125 ,  25 ,  260 ,  -   ,  -   ,,,,,,,,,,,,,,
COTABATO CITY,  58.866 ,  30.976 ,  16.219 ,  563 ,  2.176 ,  240 ,  1.953 ,  12 ,  5 ,  23 ,  2.624 ,  3.419 ,  656 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XIII - CARAGA,  573.998 ,  105.130 ,  119.918 ,  15.787 ,  85.615 ,  7.779 ,  14.590 ,  39.400 ,  14.099 ,  15.137 ,  25.188 ,  130.960 ,  395 ,  -   ,,,,,,,,,,,,,,
AGUSAN DEL NORTE (excluding Butuan City),  77.609 ,  10.194 ,  18.269 ,  2.533 ,  21.632 ,  972 ,  916 ,  3.285 ,  1.243 ,  177 ,  2.086 ,  16.290 ,  12 ,  -   ,,,,,,,,,,,,,,
BUENAVISTA,  13.924 ,  641 ,  958 ,  610 ,  3.589 ,  207 ,  194 ,  859 ,  376 ,  43 ,  55 ,  6.386 ,  6 ,  -   ,,,,,,,,,,,,,,
CITY OF CABADBARAN,  16.698 ,  2.568 ,  3.779 ,  1.158 ,  6.987 ,  442 ,  18 ,  377 ,  6 ,  1 ,  69 ,  1.291 ,  2 ,  -   ,,,,,,,,,,,,,,
CARMEN,  4.711 ,  224 ,  437 ,  135 ,  2.654 ,  50 ,  119 ,  83 ,  10 ,  1 ,  154 ,  843 ,  1 ,  -   ,,,,,,,,,,,,,,
JABONGA,  5.155 ,  1.548 ,  2.281 ,  86 ,  613 ,  -   ,  4 ,  215 ,  186 ,  24 ,  6 ,  192 ,  -   ,  -   ,,,,,,,,,,,,,,
KITCHARAO,  4.326 ,  507 ,  1.633 ,  177 ,  1.140 ,  4 ,  -   ,  113 ,  69 ,  -   ,  -   ,  683 ,  -   ,  -   ,,,,,,,,,,,,,,
LAS NIEVES,  5.717 ,  1.616 ,  1.609 ,  68 ,  1.162 ,  71 ,  491 ,  426 ,  62 ,  7 ,  60 ,  145 ,  -   ,  -   ,,,,,,,,,,,,,,
MAGALLANES,  4.481 ,  411 ,  1.899 ,  9 ,  93 ,  37 ,  12 ,  57 ,  24 ,  -   ,  1.409 ,  530 ,  -   ,  -   ,,,,,,,,,,,,,,
NASIPIT,  9.155 ,  734 ,  618 ,  131 ,  2.317 ,  139 ,  38 ,  149 ,  299 ,  1 ,  144 ,  4.583 ,  2 ,  -   ,,,,,,,,,,,,,,
SANTIAGO,  4.681 ,  587 ,  2.248 ,  21 ,  506 ,  -   ,  2 ,  147 ,  73 ,  100 ,  151 ,  846 ,  -   ,  -   ,,,,,,,,,,,,,,
TUBAY,  5.254 ,  723 ,  1.553 ,  55 ,  1.768 ,  4 ,  3 ,  563 ,  50 ,  -   ,  32 ,  502 ,  1 ,  -   ,,,,,,,,,,,,,,
REMEDIOS T. ROMUALDEZ,  3.507 ,  635 ,  1.254 ,  83 ,  803 ,  18 ,  35 ,  296 ,  88 ,  -   ,  6 ,  289 ,  -   ,  -   ,,,,,,,,,,,,,,
BUTUAN CITY (Capital),  76.206 ,  10.847 ,  7.073 ,  1.446 ,  13.771 ,  345 ,  584 ,  3.454 ,  314 ,  60 ,  7.219 ,  31.049 ,  44 ,  -   ,,,,,,,,,,,,,,
AGUSAN DEL SUR,  153.653 ,  15.195 ,  29.868 ,  3.657 ,  25.754 ,  2.040 ,  9.103 ,  16.814 ,  7.437 ,  9.814 ,  9.474 ,  24.330 ,  167 ,  -   ,,,,,,,,,,,,,,
CITY OF BAYUGAN,  22.658 ,  2.715 ,  3.107 ,  1.267 ,  5.604 ,  133 ,  313 ,  2.999 ,  689 ,  55 ,  270 ,  5.489 ,  17 ,  -   ,,,,,,,,,,,,,,
BUNAWAN,  10.530 ,  791 ,  2.723 ,  47 ,  174 ,  26 ,  533 ,  1.596 ,  281 ,  1.829 ,  615 ,  1.914 ,  1 ,  -   ,,,,,,,,,,,,,,
ESPERANZA,  11.654 ,  1.293 ,  2.026 ,  227 ,  5.045 ,  39 ,  197 ,  1.467 ,  491 ,  54 ,  8 ,  788 ,  19 ,  -   ,,,,,,,,,,,,,,
LA PAZ,  5.297 ,  39 ,  1.180 ,  22 ,  242 ,  17 ,  423 ,  652 ,  820 ,  887 ,  705 ,  288 ,  22 ,  -   ,,,,,,,,,,,,,,
LORETO,  9.028 ,  149 ,  1.181 ,  475 ,  2.396 ,  230 ,  1.420 ,  1.189 ,  912 ,  756 ,  104 ,  216 ,  -   ,  -   ,,,,,,,,,,,,,,
PROSPERIDAD (Capital),  18.423 ,  883 ,  4.702 ,  198 ,  2.305 ,  63 ,  1.941 ,  1.193 ,  608 ,  1.147 ,  867 ,  4.512 ,  4 ,  -   ,,,,,,,,,,,,,,
ROSARIO,  10.097 ,  1.618 ,  2.392 ,  130 ,  1.455 ,  193 ,  164 ,  930 ,  217 ,  180 ,  1.054 ,  1.689 ,  75 ,  -   ,,,,,,,,,,,,,,
SAN FRANCISCO,  17.151 ,  4.069 ,  4.101 ,  228 ,  827 ,  90 ,  669 ,  619 ,  52 ,  999 ,  99 ,  5.377 ,  21 ,  -   ,,,,,,,,,,,,,,
SAN LUIS,  6.700 ,  1.267 ,  1.118 ,  107 ,  2.159 ,  49 ,  484 ,  579 ,  575 ,  328 ,  1 ,  33 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA JOSEFA,  5.860 ,  128 ,  978 ,  56 ,  795 ,  672 ,  331 ,  964 ,  424 ,  90 ,  902 ,  520 ,  -   ,  -   ,,,,,,,,,,,,,,
TALACOGON,  8.285 ,  438 ,  1.041 ,  131 ,  1.276 ,  83 ,  340 ,  614 ,  308 ,  1.464 ,  1.145 ,  1.444 ,  1 ,  -   ,,,,,,,,,,,,,,
TRENTO,  11.931 ,  404 ,  1.446 ,  448 ,  2.258 ,  313 ,  889 ,  871 ,  751 ,  70 ,  3.674 ,  800 ,  7 ,  -   ,,,,,,,,,,,,,,
VERUELA,  9.395 ,  718 ,  3.064 ,  218 ,  582 ,  65 ,  1.222 ,  811 ,  42 ,  1.901 ,  7 ,  765 ,  -   ,  -   ,,,,,,,,,,,,,,
SIBAGAT,  6.644 ,  683 ,  809 ,  103 ,  636 ,  67 ,  177 ,  2.330 ,  1.267 ,  54 ,  23 ,  495 ,  -   ,  -   ,,,,,,,,,,,,,,
SURIGAO DEL NORTE,  108.814 ,  37.351 ,  24.745 ,  1.525 ,  6.422 ,  638 ,  1.336 ,  3.866 ,  460 ,  1.864 ,  2.101 ,  28.389 ,  117 ,  -   ,,,,,,,,,,,,,,
ALEGRIA,  3.415 ,  1.333 ,  690 ,  233 ,  500 ,  -   ,  23 ,  104 ,  44 ,  4 ,  -   ,  475 ,  9 ,  -   ,,,,,,,,,,,,,,
BACUAG,  3.107 ,  1.163 ,  1.200 ,  31 ,  175 ,  14 ,  8 ,  63 ,  2 ,  27 ,  29 ,  394 ,  1 ,  -   ,,,,,,,,,,,,,,
BURGOS,  919 ,  50 ,  256 ,  5 ,  84 ,  2 ,  2 ,  39 ,  -   ,  1 ,  -   ,  476 ,  4 ,  -   ,,,,,,,,,,,,,,
CLAVER,  7.357 ,  406 ,  2.069 ,  207 ,  325 ,  137 ,  126 ,  163 ,  9 ,  3 ,  5 ,  3.906 ,  1 ,  -   ,,,,,,,,,,,,,,
DAPA,  5.139 ,  339 ,  1.420 ,  43 ,  348 ,  74 ,  12 ,  185 ,  1 ,  124 ,  1.453 ,  1.140 ,  -   ,  -   ,,,,,,,,,,,,,,
DEL CARMEN,  3.973 ,  314 ,  1.032 ,  133 ,  25 ,  3 ,  126 ,  61 ,  2 ,  134 ,  12 ,  2.090 ,  41 ,  -   ,,,,,,,,,,,,,,
GENERAL LUNA,  3.847 ,  28 ,  698 ,  63 ,  843 ,  4 ,  317 ,  6 ,  1 ,  95 ,  11 ,  1.771 ,  10 ,  -   ,,,,,,,,,,,,,,
GIGAQUIT,  4.532 ,  259 ,  924 ,  130 ,  677 ,  7 ,  312 ,  398 ,  -   ,  299 ,  1 ,  1.520 ,  5 ,  -   ,,,,,,,,,,,,,,
MAINIT,  5.975 ,  2.846 ,  1.311 ,  22 ,  69 ,  2 ,  4 ,  364 ,  11 ,  2 ,  1 ,  1.339 ,  4 ,  -   ,,,,,,,,,,,,,,
MALIMONO,  3.995 ,  2.669 ,  641 ,  3 ,  14 ,  2 ,  59 ,  23 ,  -   ,  -   ,  34 ,  550 ,  -   ,  -   ,,,,,,,,,,,,,,
PILAR,  2.401 ,  164 ,  583 ,  35 ,  428 ,  1 ,  29 ,  2 ,  1 ,  708 ,  5 ,  444 ,  1 ,  -   ,,,,,,,,,,,,,,
PLACER,  5.922 ,  3.490 ,  628 ,  40 ,  230 ,  9 ,  4 ,  480 ,  55 ,  20 ,  15 ,  934 ,  17 ,  -   ,,,,,,,,,,,,,,
SAN BENITO,  1.222 ,  61 ,  538 ,  3 ,  6 ,  -   ,  1 ,  18 ,  88 ,  52 ,  157 ,  298 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN FRANCISCO (ANAO-AON),  3.256 ,  1.794 ,  512 ,  26 ,  81 ,  2 ,  1 ,  283 ,  3 ,  3 ,  4 ,  547 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ISIDRO,  1.625 ,  217 ,  458 ,  8 ,  47 ,  -   ,  2 ,  126 ,  -   ,  172 ,  -   ,  594 ,  1 ,  -   ,,,,,,,,,,,,,,
SANTA MONICA (SAPAO),  1.986 ,  862 ,  570 ,  11 ,  23 ,  17 ,  -   ,  4 ,  -   ,  111 ,  -   ,  388 ,  -   ,  -   ,,,,,,,,,,,,,,
SISON,  2.920 ,  1.404 ,  803 ,  -   ,  8 ,  18 ,  5 ,  24 ,  61 ,  -   ,  1 ,  592 ,  4 ,  -   ,,,,,,,,,,,,,,
SOCORRO,  4.417 ,  2.406 ,  1.314 ,  192 ,  328 ,  12 ,  20 ,  46 ,  11 ,  21 ,  -   ,  67 ,  -   ,  -   ,,,,,,,,,,,,,,
SURIGAO CITY (Capital),  35.784 ,  14.455 ,  6.977 ,  316 ,  2.116 ,  330 ,  201 ,  1.117 ,  140 ,  60 ,  78 ,  9.977 ,  17 ,  -   ,,,,,,,,,,,,,,
TAGANA-AN,  3.779 ,  927 ,  1.891 ,  18 ,  83 ,  4 ,  64 ,  64 ,  23 ,  28 ,  83 ,  592 ,  2 ,  -   ,,,,,,,,,,,,,,
TUBOD,  3.243 ,  2.164 ,  230 ,  6 ,  12 ,  -   ,  20 ,  296 ,  8 ,  -   ,  212 ,  295 ,  -   ,  -   ,,,,,,,,,,,,,,
SURIGAO DEL SUR,  129.159 ,  22.042 ,  28.478 ,  5.850 ,  15.819 ,  3.442 ,  1.980 ,  10.327 ,  4.441 ,  2.771 ,  3.976 ,  30.022 ,  11 ,  -   ,,,,,,,,,,,,,,
BAROBO,  10.690 ,  999 ,  2.911 ,  32 ,  1.142 ,  6 ,  150 ,  399 ,  12 ,  943 ,  239 ,  3.853 ,  4 ,  -   ,,,,,,,,,,,,,,
BAYABAS,  1.738 ,  171 ,  798 ,  48 ,  255 ,  1 ,  54 ,  48 ,  5 ,  -   ,  1 ,  357 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF BISLIG,  21.314 ,  4.870 ,  2.451 ,  88 ,  1.437 ,  101 ,  83 ,  3.488 ,  1.441 ,  170 ,  2.056 ,  5.129 ,  -   ,  -   ,,,,,,,,,,,,,,
CAGWAIT,  4.359 ,  514 ,  1.317 ,  7 ,  323 ,  7 ,  39 ,  437 ,  152 ,  165 ,  28 ,  1.370 ,  -   ,  -   ,,,,,,,,,,,,,,
CANTILAN,  7.058 ,  969 ,  550 ,  1.120 ,  1.152 ,  521 ,  87 ,  91 ,  -   ,  4 ,  169 ,  2.395 ,  -   ,  -   ,,,,,,,,,,,,,,
CARMEN,  2.330 ,  503 ,  343 ,  699 ,  623 ,  2 ,  7 ,  37 ,  1 ,  19 ,  41 ,  55 ,  -   ,  -   ,,,,,,,,,,,,,,
CARRASCAL,  5.018 ,  930 ,  1.179 ,  251 ,  223 ,  223 ,  1 ,  209 ,  5 ,  64 ,  3 ,  1.930 ,  -   ,  -   ,,,,,,,,,,,,,,
CORTES,  3.530 ,  1.078 ,  1.373 ,  32 ,  116 ,  218 ,  148 ,  162 ,  1 ,  2 ,  257 ,  143 ,  -   ,  -   ,,,,,,,,,,,,,,
HINATUAN,  8.867 ,  3.421 ,  2.110 ,  14 ,  281 ,  431 ,  223 ,  460 ,  234 ,  480 ,  6 ,  1.207 ,  -   ,  -   ,,,,,,,,,,,,,,
LANUZA,  2.783 ,  368 ,  761 ,  372 ,  610 ,  3 ,  -   ,  204 ,  210 ,  14 ,  -   ,  241 ,  -   ,  -   ,,,,,,,,,,,,,,
LIANGA,  6.302 ,  717 ,  2.042 ,  10 ,  581 ,  4 ,  13 ,  644 ,  71 ,  11 ,  2 ,  2.207 ,  -   ,  -   ,,,,,,,,,,,,,,
LINGIG,  7.094 ,  216 ,  2.286 ,  157 ,  275 ,  113 ,  157 ,  1.145 ,  1.303 ,  -   ,  1.081 ,  361 ,  -   ,  -   ,,,,,,,,,,,,,,
MADRID,  3.504 ,  580 ,  364 ,  924 ,  409 ,  889 ,  3 ,  -   ,  -   ,  -   ,  -   ,  335 ,  -   ,  -   ,,,,,,,,,,,,,,
MARIHATAG,  3.699 ,  28 ,  2.295 ,  147 ,  453 ,  134 ,  -   ,  116 ,  44 ,  19 ,  -   ,  463 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN AGUSTIN,  4.584 ,  57 ,  584 ,  113 ,  2.248 ,  -   ,  68 ,  143 ,  452 ,  76 ,  1 ,  842 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN MIGUEL,  7.980 ,  1.665 ,  2.219 ,  220 ,  1.374 ,  42 ,  243 ,  758 ,  381 ,  2 ,  14 ,  1.062 ,  -   ,  -   ,,,,,,,,,,,,,,
TAGBINA,  8.368 ,  2.474 ,  2.484 ,  89 ,  920 ,  69 ,  248 ,  500 ,  40 ,  665 ,  50 ,  829 ,  -   ,  -   ,,,,,,,,,,,,,,
TAGO,  7.898 ,  676 ,  1.464 ,  825 ,  1.893 ,  472 ,  142 ,  882 ,  75 ,  10 ,  24 ,  1.435 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF TANDAG (Capital),  12.043 ,  1.806 ,  947 ,  702 ,  1.504 ,  206 ,  314 ,  604 ,  14 ,  127 ,  4 ,  5.808 ,  7 ,  -   ,,,,,,,,,,,,,,
DINAGAT ISLANDS,  28.557 ,  9.501 ,  11.485 ,  776 ,  2.217 ,  342 ,  671 ,  1.654 ,  204 ,  451 ,  332 ,  880 ,  44 ,  -   ,,,,,,,,,,,,,,
BASILISA (RIZAL),  8.588 ,  1.784 ,  4.353 ,  305 ,  823 ,  171 ,  244 ,  464 ,  92 ,  188 ,  -   ,  164 ,  -   ,  -   ,,,,,,,,,,,,,,
CAGDIANAO,  3.777 ,  1.234 ,  1.561 ,  41 ,  154 ,  14 ,  35 ,  278 ,  66 ,  44 ,  190 ,  159 ,  1 ,  -   ,,,,,,,,,,,,,,
DINAGAT,  2.220 ,  257 ,  325 ,  54 ,  535 ,  27 ,  305 ,  421 ,  31 ,  61 ,  2 ,  202 ,  -   ,  -   ,,,,,,,,,,,,,,
LIBJO (ALBOR),  4.103 ,  1.577 ,  2.168 ,  42 ,  214 ,  1 ,  22 ,  23 ,  10 ,  5 ,  4 ,  37 ,  -   ,  -   ,,,,,,,,,,,,,,
LORETO,  2.259 ,  1.740 ,  357 ,  38 ,  22 ,  14 ,  34 ,  26 ,  -   ,  10 ,  1 ,  17 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN JOSE (CAPITAL),  5.765 ,  2.015 ,  1.999 ,  287 ,  448 ,  97 ,  21 ,  442 ,  5 ,  7 ,  135 ,  266 ,  43 ,  -   ,,,,,,,,,,,,,,
TUBAJON,  1.845 ,  894 ,  722 ,  9 ,  21 ,  18 ,  10 ,  -   ,  -   ,  136 ,  -   ,  35 ,  -   ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTONOMOUS REGION IN MUSLIM MINDANAO,  620.385 ,  69.781 ,  83.200 ,  42.814 ,  108.642 ,  17.498 ,  123.953 ,  38.761 ,  18.881 ,  75.218 ,  26.986 ,  12.278 ,  2.373 ,  -   ,,,,,,,,,,,,,,
BASILAN,  59.860 ,  9.081 ,  12.206 ,  2.321 ,  10.207 ,  1.059 ,  16.782 ,  1.578 ,  969 ,  1.827 ,  2.945 ,  784 ,  101 ,  -   ,,,,,,,,,,,,,,
CITY OF LAMITAN,  15.065 ,  3.636 ,  3.302 ,  549 ,  2.927 ,  565 ,  2.722 ,  557 ,  40 ,  81 ,  122 ,  535 ,  29 ,  -   ,,,,,,,,,,,,,,
LANTAWAN,  4.609 ,  586 ,  799 ,  285 ,  1.532 ,  7 ,  896 ,  193 ,  156 ,  110 ,  15 ,  29 ,  1 ,  -   ,,,,,,,,,,,,,,
MALUSO,  6.294 ,  2.704 ,  2.211 ,  264 ,  347 ,  4 ,  137 ,  175 ,  188 ,  187 ,  36 ,  39 ,  2 ,  -   ,,,,,,,,,,,,,,
SUMISIP,  7.408 ,  744 ,  3.193 ,  330 ,  765 ,  303 ,  1.232 ,  372 ,  11 ,  187 ,  223 ,  47 ,  1 ,  -   ,,,,,,,,,,,,,,
TIPO-TIPO,  3.149 ,  431 ,  732 ,  18 ,  586 ,  43 ,  449 ,  38 ,  307 ,  417 ,  -   ,  68 ,  60 ,  -   ,,,,,,,,,,,,,,
TUBURAN,  3.239 ,  32 ,  248 ,  441 ,  1.647 ,  5 ,  781 ,  2 ,  10 ,  54 ,  1 ,  18 ,  -   ,  -   ,,,,,,,,,,,,,,
AKBAR,  2.820 ,  27 ,  10 ,  14 ,  399 ,  4 ,  2.351 ,  2 ,  -   ,  10 ,  2 ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
AL-BARKA,  3.662 ,  266 ,  527 ,  102 ,  635 ,  47 ,  1.064 ,  114 ,  244 ,  644 ,  3 ,  8 ,  8 ,  -   ,,,,,,,,,,,,,,
HADJI MOHAMMAD AJUL,  2.948 ,  21 ,  16 ,  126 ,  308 ,  12 ,  2.440 ,  1 ,  3 ,  2 ,  7 ,  12 ,  -   ,  -   ,,,,,,,,,,,,,,
UNGKAYA PUKAN,  3.095 ,  506 ,  1.113 ,  184 ,  869 ,  2 ,  14 ,  122 ,  6 ,  130 ,  140 ,  9 ,  -   ,  -   ,,,,,,,,,,,,,,
HADJI MUHTAMAD,  3.956 ,  72 ,  41 ,  3 ,  18 ,  23 ,  1.696 ,  1 ,  1 ,  4 ,  2.081 ,  16 ,  -   ,  -   ,,,,,,,,,,,,,,
TABUAN-LASA,  3.615 ,  56 ,  14 ,  5 ,  174 ,  44 ,  3.000 ,  1 ,  3 ,  1 ,  315 ,  2 ,  -   ,  -   ,,,,,,,,,,,,,,
LANAO DEL SUR,  160.132 ,  23.392 ,  24.144 ,  9.430 ,  18.445 ,  5.552 ,  10.342 ,  18.292 ,  12.009 ,  33.519 ,  1.614 ,  3.106 ,  287 ,  -   ,,,,,,,,,,,,,,
BACOLOD-KALAWI (BACOLOD GRANDE),  3.300 ,  34 ,  15 ,  428 ,  304 ,  54 ,  4 ,  593 ,  396 ,  1.417 ,  -   ,  8 ,  47 ,  -   ,,,,,,,,,,,,,,
BALABAGAN,  4.769 ,  74 ,  392 ,  41 ,  178 ,  477 ,  509 ,  547 ,  246 ,  1.682 ,  614 ,  9 ,  -   ,  -   ,,,,,,,,,,,,,,
BALINDONG (WATU),  4.183 ,  523 ,  714 ,  501 ,  541 ,  3 ,  185 ,  963 ,  4 ,  735 ,  -   ,  10 ,  4 ,  -   ,,,,,,,,,,,,,,
BAYANG,  3.536 ,  4 ,  -   ,  107 ,  667 ,  13 ,  5 ,  895 ,  584 ,  1.229 ,  7 ,  24 ,  1 ,  -   ,,,,,,,,,,,,,,
BINIDAYAN,  3.397 ,  228 ,  134 ,  89 ,  78 ,  15 ,  392 ,  892 ,  272 ,  1.242 ,  1 ,  54 ,  -   ,  -   ,,,,,,,,,,,,,,
BUBONG,  3.158 ,  81 ,  -   ,  1 ,  1 ,  -   ,  1 ,  50 ,  2.880 ,  141 ,  -   ,  2 ,  1 ,  -   ,,,,,,,,,,,,,,
BUTIG,  3.098 ,  23 ,  102 ,  392 ,  285 ,  1.375 ,  427 ,  159 ,  17 ,  317 ,  -   ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
GANASSI,  3.579 ,  39 ,  357 ,  247 ,  444 ,  55 ,  3 ,  881 ,  612 ,  937 ,  1 ,  3 ,  -   ,  -   ,,,,,,,,,,,,,,
KAPAI,  2.723 ,  296 ,  100 ,  -   ,  405 ,  -   ,  12 ,  1.309 ,  259 ,  340 ,  -   ,  1 ,  1 ,  -   ,,,,,,,,,,,,,,
LUMBA-BAYABAO (MAGUING),  5.768 ,  167 ,  11 ,  77 ,  213 ,  7 ,  4 ,  430 ,  200 ,  4.463 ,  1 ,  195 ,  -   ,  -   ,,,,,,,,,,,,,,
LUMBATAN,  2.913 ,  172 ,  597 ,  127 ,  646 ,  17 ,  826 ,  356 ,  27 ,  144 ,  1 ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
MADALUM,  3.701 ,  510 ,  1.401 ,  188 ,  458 ,  90 ,  5 ,  824 ,  16 ,  205 ,  2 ,  2 ,  -   ,  -   ,,,,,,,,,,,,,,
MADAMBA,  2.630 ,  79 ,  1.398 ,  33 ,  279 ,  114 ,  13 ,  389 ,  70 ,  250 ,  4 ,  1 ,  -   ,  -   ,,,,,,,,,,,,,,
MALABANG,  6.713 ,  519 ,  409 ,  520 ,  2.263 ,  6 ,  636 ,  1.301 ,  158 ,  371 ,  86 ,  430 ,  14 ,  -   ,,,,,,,,,,,,,,
MARANTAO,  5.083 ,  273 ,  138 ,  839 ,  2.066 ,  9 ,  57 ,  274 ,  9 ,  1.340 ,  -   ,  78 ,  -   ,  -   ,,,,,,,,,,,,,,
MARAWI CITY,  29.732 ,  11.004 ,  6.641 ,  2.575 ,  4.461 ,  609 ,  615 ,  1.114 ,  418 ,  1.518 ,  37 ,  689 ,  51 ,  -   ,,,,,,,,,,,,,,
MASIU,  4.316 ,  28 ,  3 ,  53 ,  468 ,  1.142 ,  337 ,  171 ,  35 ,  2.056 ,  -   ,  23 ,  -   ,  -   ,,,,,,,,,,,,,,
MULONDO,  2.246 ,  233 ,  339 ,  1.111 ,  484 ,  3 ,  2 ,  -   ,  -   ,  39 ,  2 ,  33 ,  -   ,  -   ,,,,,,,,,,,,,,
PAGAYAWAN (TATARIKAN),  1.833 ,  16 ,  168 ,  36 ,  110 ,  15 ,  5 ,  235 ,  1.170 ,  78 ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
PIAGAPO,  4.067 ,  105 ,  442 ,  4 ,  4 ,  2 ,  5 ,  1.625 ,  1.860 ,  9 ,  -   ,  10 ,  1 ,  -   ,,,,,,,,,,,,,,
POONA BAYABAO (GATA),  3.558 ,  172 ,  499 ,  351 ,  487 ,  12 ,  325 ,  550 ,  2 ,  937 ,  173 ,  50 ,  -   ,  -   ,,,,,,,,,,,,,,
PUALAS,  2.221 ,  28 ,  359 ,  8 ,  8 ,  3 ,  382 ,  963 ,  98 ,  371 ,  1 ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
DITSAAN-RAMAIN,  3.227 ,  96 ,  310 ,  293 ,  73 ,  385 ,  2 ,  250 ,  326 ,  867 ,  300 ,  325 ,  -   ,  -   ,,,,,,,,,,,,,,
SAGUIARAN,  3.646 ,  1.141 ,  1.196 ,  46 ,  325 ,  12 ,  4 ,  279 ,  98 ,  389 ,  11 ,  145 ,  -   ,  -   ,,,,,,,,,,,,,,
